sequence,request_id,action,x_m,y_m,channel,result,virtual_time_s
1,dc5361a6469f473099bf83071b1abbb1-1,measure,0.0,0.0,1,direction,5
2,dc5361a6469f473099bf83071b1abbb1-2,measure,0.0,0.0,2,no_signal,11
3,dc5361a6469f473099bf83071b1abbb1-3,measure,0.0,0.0,3,direction,17
4,dc5361a6469f473099bf83071b1abbb1-4,measure,0.0,0.0,4,no_signal,23
5,dc5361a6469f473099bf83071b1abbb1-5,measure,0.0,0.0,5,no_signal,29
6,dc5361a6469f473099bf83071b1abbb1-6,measure,0.0,0.0,6,no_signal,35
7,dc5361a6469f473099bf83071b1abbb1-7,measure,0.0,0.0,7,no_signal,41
8,dc5361a6469f473099bf83071b1abbb1-8,measure,0.0,0.0,8,no_signal,47
9,dc5361a6469f473099bf83071b1abbb1-9,measure,0.0,0.0,9,no_signal,53
10,dc5361a6469f473099bf83071b1abbb1-10,measure,0.0,0.0,10,no_signal,59
11,dc5361a6469f473099bf83071b1abbb1-11,measure,0.0,0.0,11,no_signal,65
12,dc5361a6469f473099bf83071b1abbb1-12,measure,0.0,0.0,12,no_signal,71
13,dc5361a6469f473099bf83071b1abbb1-13,measure,0.0,0.0,13,no_signal,77
14,dc5361a6469f473099bf83071b1abbb1-14,measure,0.0,0.0,14,direction,83
15,dc5361a6469f473099bf83071b1abbb1-15,measure,0.0,0.0,15,no_signal,89
16,dc5361a6469f473099bf83071b1abbb1-16,measure,0.0,0.0,16,no_signal,95
17,dc5361a6469f473099bf83071b1abbb1-17,measure,0.0,0.0,17,direction,101
18,dc5361a6469f473099bf83071b1abbb1-18,measure,0.0,0.0,18,no_signal,107
19,dc5361a6469f473099bf83071b1abbb1-19,measure,0.0,0.0,19,direction,113
20,dc5361a6469f473099bf83071b1abbb1-20,measure,0.0,0.0,20,no_signal,119
21,dc5361a6469f473099bf83071b1abbb1-21,clear,0.0,0.0,1,no_target_in_range,122
22,dc5361a6469f473099bf83071b1abbb1-22,clear,0.0,0.0,3,no_target_in_range,125
23,dc5361a6469f473099bf83071b1abbb1-23,clear,0.0,0.0,19,no_target_in_range,128
24,dc5361a6469f473099bf83071b1abbb1-24,clear,0.0,0.0,17,no_target_in_range,131
25,dc5361a6469f473099bf83071b1abbb1-25,clear,0.0,0.0,14,no_target_in_range,134
26,dc5361a6469f473099bf83071b1abbb1-26,measure,423.2034085401487,423.20340854014864,1,no_signal,259.7
27,dc5361a6469f473099bf83071b1abbb1-27,measure,423.2034085401487,423.20340854014864,3,no_signal,265.7
28,dc5361a6469f473099bf83071b1abbb1-28,measure,564.271211386865,564.2712113868649,14,direction,311.6
29,dc5361a6469f473099bf83071b1abbb1-29,measure,705.3390142335812,705.3390142335811,2,no_signal,357.5
30,dc5361a6469f473099bf83071b1abbb1-30,measure,705.3390142335812,705.3390142335811,4,no_signal,363.5
31,dc5361a6469f473099bf83071b1abbb1-31,measure,705.3390142335812,705.3390142335811,5,no_signal,369.5
32,dc5361a6469f473099bf83071b1abbb1-32,measure,705.3390142335812,705.3390142335811,6,no_signal,375.5
33,dc5361a6469f473099bf83071b1abbb1-33,measure,705.3390142335812,705.3390142335811,7,direction,381.5
34,dc5361a6469f473099bf83071b1abbb1-34,measure,705.3390142335812,705.3390142335811,8,direction,387.5
35,dc5361a6469f473099bf83071b1abbb1-35,measure,705.3390142335812,705.3390142335811,9,no_signal,393.5
36,dc5361a6469f473099bf83071b1abbb1-36,measure,705.3390142335812,705.3390142335811,10,no_signal,399.5
37,dc5361a6469f473099bf83071b1abbb1-37,measure,705.3390142335812,705.3390142335811,11,no_signal,405.5
38,dc5361a6469f473099bf83071b1abbb1-38,measure,705.3390142335812,705.3390142335811,12,no_signal,411.5
39,dc5361a6469f473099bf83071b1abbb1-39,measure,705.3390142335812,705.3390142335811,13,no_signal,417.5
40,dc5361a6469f473099bf83071b1abbb1-40,measure,705.3390142335812,705.3390142335811,15,no_signal,423.5
41,dc5361a6469f473099bf83071b1abbb1-41,measure,705.3390142335812,705.3390142335811,16,no_signal,429.5
42,dc5361a6469f473099bf83071b1abbb1-42,measure,705.3390142335812,705.3390142335811,18,no_signal,435.5
43,dc5361a6469f473099bf83071b1abbb1-43,measure,705.3390142335812,705.3390142335811,20,no_signal,441.5
44,dc5361a6469f473099bf83071b1abbb1-44,clear,705.3390142335812,705.3390142335811,7,no_target_in_range,444.5
45,dc5361a6469f473099bf83071b1abbb1-45,clear,705.3390142335812,705.3390142335811,8,no_target_in_range,447.5
46,dc5361a6469f473099bf83071b1abbb1-46,measure,141.0678028467163,939.0678028467162,1,direction,575.652552
47,dc5361a6469f473099bf83071b1abbb1-47,measure,141.0678028467163,939.0678028467162,3,direction,581.652552
48,dc5361a6469f473099bf83071b1abbb1-48,measure,141.0678028467163,939.0678028467162,7,direction,587.652552
