strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures,movement_per_source_m,mean_recovery_ray_m,mean_supplement_count,max_wall_s,guaranteed_clear_failures,b1plus_empty,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio
E11,20,260,True,True,0,qualified_runs_only,20,270.8598478923077,276.3821403206714,264.33324742307695,331.6443836554546,343.81126874,354.408992068,357.0584229,357.0584229,1,13876.390113253814,114.7,103.35,1.35,1067.4146240964471,47.25000000000001,5,4.424551999999949,0,0,,,,,,,,
M,20,260,True,True,0,qualified_runs_only,20,249.68622248076923,254.4895934343571,240.79653281043954,300.9197797181818,307.5073385477273,326.8533569095454,331.6898615,331.6898615,1,12363.604461236577,119.05,107.55,1.8,951.0464970181982,62.99999999999999,5.15,1.5204281999999694,0,0,20,20,1.0,-21.90871306666665,-4.58802213392857,-3.514130428571434,52001107,0.6055035740563472
O,20,260,True,True,0,qualified_runs_only,20,246.05177511153846,250.87348589589286,233.2600685,295.30654227,301.32972542000005,318.62734700399994,322.9517524,322.9517524,1,12170.865381722342,117.7,105.9,1.7,936.2204139786418,59.49999999999998,6.5,1.4775697000000036,0,0,20,20,0.95,-24.51749639285717,-3.403530230000007,0.41666620000000876,52001117,0.6826488069917465
