seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52001106,E11,13,6,True,True,263.91021984615384,245.00000000000006,6,0,0,6,1020.3203300967351,2.2850127000000384,c58b4decf6b12b81e1597e9711aa5a9be55d551948dfdd81a8067cc07d41dd08,14110fbfe7a1aaa254f05f349648ad947da4af5214d1ae729312b3510879ea30,13264.164291257557,118,102,20,13,7,0,3430.832858
52001106,M,13,6,True,True,242.65106069230768,0.0,6,46,0,6,929.4091494628512,0.9946915000000445,c58b4decf6b12b81e1597e9711aa5a9be55d551948dfdd81a8067cc07d41dd08,47e1197199276bea9069e2f33715b3a7e71b230efb53df644c03c69f5b2c3947,12082.318943017066,114,103,13,13,0,0,3154.463789
52001106,O,13,6,True,True,233.92169415384615,34.99999999999997,7,50,0,6,888.0700092543609,0.9820373999999674,c58b4decf6b12b81e1597e9711aa5a9be55d551948dfdd81a8067cc07d41dd08,4d10e862ad21f1744aaf5be2a532142b777527071b8b4522b27f2bba4db82b4a,11544.910120306691,113,99,14,13,1,0,3040.982024
52001107,E11,14,6,True,True,269.43654078571427,0.0,6,0,0,6,1067.5398468274955,3.335194999999999,6d9d8eedb4c3a2a74fd6a255456159fbebf7e675d9e79b8c01ce0d75c85320da,a33ae306d1607271689854b48f9e2fb92e24365247a9e3c1b4ea068af9767b31,14945.557855584937,121,108,14,14,0,0,3772.111571
52001107,M,14,6,True,True,265.92241035714284,34.999999999999936,8,54,0,6,1038.8977662042455,1.2482345999999325,6d9d8eedb4c3a2a74fd6a255456159fbebf7e675d9e79b8c01ce0d75c85320da,33ee38dfdc5105f289346fffe99fa9f19ba1923d1d7a9f5d5c44e5a7d1cee012,14544.568726859436,126,111,15,14,1,0,3722.913745
52001107,O,14,6,True,True,230.32238957142857,34.999999999999936,10,55,0,6,857.6833762667428,1.14377520000005,6d9d8eedb4c3a2a74fd6a255456159fbebf7e675d9e79b8c01ce0d75c85320da,4679b8e30157c71d1496412a0367595e80624378a6eb33f9da8b6e0690bb13fc,12007.5672677344,127,115,15,14,1,0,3224.513454
52001108,E11,15,8,True,True,240.39852413333335,34.99999999999992,4,0,0,6,964.6592874893462,2.2726045000000568,0c55c8f85dc9e87e148a659bf0850adb3c376bac74b0269afcbf410798bbfd21,c1a2d0de79ee891f27c996d1b0db478a70b457d9153f54e7c3c810e9644d3e58,14469.889312340192,108,94,16,15,1,0,3605.977862
52001108,M,15,8,True,True,218.7869372,69.99999999999994,4,63,0,6,836.9346860050166,1.3436997999999676,0c55c8f85dc9e87e148a659bf0850adb3c376bac74b0269afcbf410798bbfd21,04af0878d09c91c98ed927be0bcc93fdd097efc99cad9b691117317d7d6d8299,12554.020290075248,117,105,17,15,2,0,3281.804058
52001108,O,15,8,True,True,219.93608146666665,139.99999999999994,6,62,0,6,853.6804073769988,1.4416908000000603,0c55c8f85dc9e87e148a659bf0850adb3c376bac74b0269afcbf410798bbfd21,c87e6c54a9b60e9e651e5434ecc243f54a27f6cdd283ab13f007c5b0dc433061,12805.206110654983,111,96,19,15,4,0,3299.041222
52001110,E11,10,3,True,True,357.0584229,70.00000000000003,5,0,0,6,1374.7921144539444,1.9688585000000103,92c3ee3bb5f2c445810f7bb17988d06710db36b1414d5b12a4737523d4db8b58,1aca8ed880be2d4d2109e230d7b8a43d6c2f856ddf95ee27a66b08f772df206e,13747.921144539443,128,125,12,10,2,0,3570.584229
52001110,M,10,3,True,True,331.6898615,105.00000000000006,6,31,0,6,1259.4493073914266,0.6477370000000064,92c3ee3bb5f2c445810f7bb17988d06710db36b1414d5b12a4737523d4db8b58,5fee1f0bd8da5767c1885e8e34062e5c7b29b3d6e50a9cae5bbbc94734f6fe4a,12594.493073914266,124,119,13,10,3,0,3316.898615
52001110,O,10,3,True,True,300.191724,35.0,9,35,0,6,1102.4586200380227,0.831858699999998,92c3ee3bb5f2c445810f7bb17988d06710db36b1414d5b12a4737523d4db8b58,e7487ec9bc578f13de710c74a9e81e48b37c336f7236f7af89a2aa20ad21549b,11024.586200380227,125,119,11,10,1,0,3001.91724
52001109,E11,16,9,True,True,227.2229709375,105.00000000000006,5,0,0,6,919.2398546306756,4.424551999999949,20a3e4ef8ec38e7b01803a127baa5f15fee59c2e61dd82244abf4d0f02b5ac8d,621893a2789708dd84854c0e688a8a9b6238f7c9c76ed4615583fcb890bfcd3f,14707.83767409081,104,85,19,16,3,0,3635.567535
52001109,M,16,9,True,True,222.5784281875,70.00000000000017,7,56,0,6,905.0796410414438,1.1157247000001007,20a3e4ef8ec38e7b01803a127baa5f15fee59c2e61dd82244abf4d0f02b5ac8d,09362aeeda43859ac4cb835f53262e0798ba941347a608068e7d8810f28209ac,14481.2742566631,99,84,18,16,2,0,3561.254851
52001109,O,16,9,True,True,222.9153080625,70.00000000000014,6,64,0,6,891.1390401947854,1.302460799999949,20a3e4ef8ec38e7b01803a127baa5f15fee59c2e61dd82244abf4d0f02b5ac8d,0f57c953c8c797d9df1d146250643ebe0132e4e5d37f6199cdc602efbbe3a97d,14258.224643116566,107,94,18,16,2,0,3566.644929
52001111,E11,11,4,True,True,291.5824590909091,35.0,4,0,0,6,1073.8213862859166,1.4437246999999616,28230a8349d6de52da2f51f39d732917a4616ff1c2615eeba17e1b596bc34c5a,f225f8b6e0b611c9941be7aaadbe091a0713ae7e1f2871f1cf6629b59004724f,11812.035249145083,133,122,12,11,1,0,3207.40705
52001111,M,11,4,True,True,275.62909245454546,35.0,3,57,0,6,981.3272804033338,1.355656799999906,28230a8349d6de52da2f51f39d732917a4616ff1c2615eeba17e1b596bc34c5a,63df2144b40b10a463a83c0dda1b7552200d651d7b2fc1251ff6f56653fc7ee7,10794.600084436672,138,125,12,11,1,0,3031.920017
52001111,O,11,4,True,True,276.1545903636364,69.9999999999999,4,42,0,6,1024.8638610199746,0.759329100000059,28230a8349d6de52da2f51f39d732917a4616ff1c2615eeba17e1b596bc34c5a,73d12abbe092ddd9367d0bd696f59ba0250748db9c083dad1b31421726911756,11273.502471219721,123,107,13,11,2,0,3037.700494
52001112,E11,12,6,True,True,318.22673641666665,0.0,6,0,0,6,1274.4670154833464,2.031399100000044,1742f41c9ca5e2e59b45bdc8e9cae557c4b199274d915bd31fb7491357a4d52b,6866208ad19ba0822b5c7af955c7b8a88f0b532b29f39bbb49707265e45fa40a,15293.604185800157,119,105,12,12,0,0,3818.720837
