sequence,request_id,action,x_m,y_m,channel,result,virtual_time_s
1,788e7f22e1c3495da72900daf0d15464-1,measure,0.0,0.0,1,no_signal,5
2,788e7f22e1c3495da72900daf0d15464-2,measure,0.0,0.0,2,no_signal,11
3,788e7f22e1c3495da72900daf0d15464-3,measure,0.0,0.0,3,no_signal,17
4,788e7f22e1c3495da72900daf0d15464-4,measure,0.0,0.0,4,no_signal,23
5,788e7f22e1c3495da72900daf0d15464-5,measure,0.0,0.0,5,no_signal,29
6,788e7f22e1c3495da72900daf0d15464-6,measure,0.0,0.0,6,no_signal,35
7,788e7f22e1c3495da72900daf0d15464-7,measure,0.0,0.0,7,direction,41
8,788e7f22e1c3495da72900daf0d15464-8,measure,0.0,0.0,8,no_signal,47
9,788e7f22e1c3495da72900daf0d15464-9,measure,0.0,0.0,9,no_signal,53
10,788e7f22e1c3495da72900daf0d15464-10,measure,0.0,0.0,10,direction,59
11,788e7f22e1c3495da72900daf0d15464-11,measure,0.0,0.0,11,no_signal,65
12,788e7f22e1c3495da72900daf0d15464-12,measure,0.0,0.0,12,no_signal,71
13,788e7f22e1c3495da72900daf0d15464-13,measure,0.0,0.0,13,no_signal,77
14,788e7f22e1c3495da72900daf0d15464-14,measure,0.0,0.0,14,no_signal,83
15,788e7f22e1c3495da72900daf0d15464-15,measure,0.0,0.0,15,no_signal,89
16,788e7f22e1c3495da72900daf0d15464-16,measure,0.0,0.0,16,no_signal,95
17,788e7f22e1c3495da72900daf0d15464-17,measure,0.0,0.0,17,no_signal,101
18,788e7f22e1c3495da72900daf0d15464-18,measure,0.0,0.0,18,no_signal,107
19,788e7f22e1c3495da72900daf0d15464-19,measure,0.0,0.0,19,no_signal,113
20,788e7f22e1c3495da72900daf0d15464-20,measure,0.0,0.0,20,no_signal,119
21,788e7f22e1c3495da72900daf0d15464-21,measure,1061.8526614880766,386.48276195800565,20,no_signal,350
22,788e7f22e1c3495da72900daf0d15464-22,measure,1061.8526614880766,386.48276195800565,19,no_signal,356
23,788e7f22e1c3495da72900daf0d15464-23,measure,1061.8526614880766,386.48276195800565,18,no_signal,362
24,788e7f22e1c3495da72900daf0d15464-24,measure,1061.8526614880766,386.48276195800565,17,no_signal,368
25,788e7f22e1c3495da72900daf0d15464-25,measure,1061.8526614880766,386.48276195800565,16,direction,374
26,788e7f22e1c3495da72900daf0d15464-26,measure,1061.8526614880766,386.48276195800565,15,no_signal,380
27,788e7f22e1c3495da72900daf0d15464-27,measure,1061.8526614880766,386.48276195800565,14,no_signal,386
28,788e7f22e1c3495da72900daf0d15464-28,measure,1061.8526614880766,386.48276195800565,13,no_signal,392
29,788e7f22e1c3495da72900daf0d15464-29,measure,1061.8526614880766,386.48276195800565,12,no_signal,398
30,788e7f22e1c3495da72900daf0d15464-30,measure,1061.8526614880766,386.48276195800565,11,no_signal,404
31,788e7f22e1c3495da72900daf0d15464-31,measure,1061.8526614880766,386.48276195800565,9,no_signal,410
32,788e7f22e1c3495da72900daf0d15464-32,measure,1061.8526614880766,386.48276195800565,8,no_signal,416
33,788e7f22e1c3495da72900daf0d15464-33,measure,1061.8526614880766,386.48276195800565,6,no_signal,422
34,788e7f22e1c3495da72900daf0d15464-34,measure,1061.8526614880766,386.48276195800565,5,no_signal,428
35,788e7f22e1c3495da72900daf0d15464-35,measure,1061.8526614880766,386.48276195800565,4,no_signal,434
36,788e7f22e1c3495da72900daf0d15464-36,measure,1061.8526614880766,386.48276195800565,3,no_signal,440
37,788e7f22e1c3495da72900daf0d15464-37,measure,1061.8526614880766,386.48276195800565,2,no_signal,446
38,788e7f22e1c3495da72900daf0d15464-38,measure,1061.8526614880766,386.48276195800565,1,no_signal,452
39,788e7f22e1c3495da72900daf0d15464-39,measure,1105.8867678051156,-118.556206168941,16,direction,559.390998
40,788e7f22e1c3495da72900daf0d15464-40,clear,1227.1366541760058,-268.6730530081002,16,success,602.984574
41,788e7f22e1c3495da72900daf0d15464-41,measure,865.6302207244449,-726.3499989457897,1,direction,725.630206
42,788e7f22e1c3495da72900daf0d15464-42,measure,865.6302207244449,-726.3499989457897,2,no_signal,731.630206
43,788e7f22e1c3495da72900daf0d15464-43,measure,865.6302207244449,-726.3499989457897,3,no_signal,737.630206
44,788e7f22e1c3495da72900daf0d15464-44,measure,865.6302207244449,-726.3499989457897,4,direction,743.630206
45,788e7f22e1c3495da72900daf0d15464-45,measure,865.6302207244449,-726.3499989457897,5,no_signal,749.630206
46,788e7f22e1c3495da72900daf0d15464-46,measure,865.6302207244449,-726.3499989457897,6,no_signal,755.630206
47,788e7f22e1c3495da72900daf0d15464-47,measure,865.6302207244449,-726.3499989457897,8,no_signal,761.630206
48,788e7f22e1c3495da72900daf0d15464-48,measure,865.6302207244449,-726.3499989457897,9,no_signal,767.630206
49,788e7f22e1c3495da72900daf0d15464-49,measure,865.6302207244449,-726.3499989457897,11,no_signal,773.630206
50,788e7f22e1c3495da72900daf0d15464-50,measure,865.6302207244449,-726.3499989457897,12,no_signal,779.630206
51,788e7f22e1c3495da72900daf0d15464-51,measure,865.6302207244449,-726.3499989457897,13,no_signal,785.630206
52,788e7f22e1c3495da72900daf0d15464-52,measure,865.6302207244449,-726.3499989457897,14,no_signal,791.630206
53,788e7f22e1c3495da72900daf0d15464-53,measure,865.6302207244449,-726.3499989457897,15,no_signal,797.630206
54,788e7f22e1c3495da72900daf0d15464-54,measure,865.6302207244449,-726.3499989457897,17,no_signal,803.630206
55,788e7f22e1c3495da72900daf0d15464-55,measure,865.6302207244449,-726.3499989457897,18,no_signal,809.630206
56,788e7f22e1c3495da72900daf0d15464-56,measure,865.6302207244449,-726.3499989457897,19,no_signal,815.630206
57,788e7f22e1c3495da72900daf0d15464-57,measure,865.6302207244449,-726.3499989457897,20,no_signal,821.630206
58,788e7f22e1c3495da72900daf0d15464-58,measure,727.6680530129846,-726.094209674727,4,direction,855.222687
59,788e7f22e1c3495da72900daf0d15464-59,measure,717.0555785736415,-726.0745335769531,1,direction,863.345186
60,788e7f22e1c3495da72900daf0d15464-60,measure,685.2181552556121,-726.0155052836309,10,direction,875.712682
61,788e7f22e1c3495da72900daf0d15464-61,measure,679.3103946657295,-734.8603439562952,1,direction,883.83996
62,788e7f22e1c3495da72900daf0d15464-62,measure,572.9707040478413,-894.0674400642527,1,direction,927.130966
63,788e7f22e1c3495da72900daf0d15464-63,measure,330.75251986265175,-1256.705825643489,4,direction,1020.349369
64,788e7f22e1c3495da72900daf0d15464-64,clear,355.32889475213534,-1312.1571174507817,4,success,1037.480064
65,788e7f22e1c3495da72900daf0d15464-65,measure,22.854905360510564,-1678.3334770943388,1,direction,1142.399037
66,788e7f22e1c3495da72900daf0d15464-66,clear,-27.79088700698839,-1623.0918110063742,1,success,1162.387883
67,788e7f22e1c3495da72900daf0d15464-67,clear,161.61861731604824,-1105.2209929803694,10,success,1277.672269
68,788e7f22e1c3495da72900daf0d15464-68,measure,-196.22244076363128,-1112.8327609037951,20,no_signal,1355.25667
69,788e7f22e1c3495da72900daf0d15464-69,measure,-196.22244076363128,-1112.8327609037951,19,no_signal,1361.25667
70,788e7f22e1c3495da72900daf0d15464-70,measure,-196.22244076363128,-1112.8327609037951,18,no_signal,1367.25667
71,788e7f22e1c3495da72900daf0d15464-71,measure,-196.22244076363128,-1112.8327609037951,17,direction,1373.25667
72,788e7f22e1c3495da72900daf0d15464-72,measure,-196.22244076363128,-1112.8327609037951,15,no_signal,1379.25667
73,788e7f22e1c3495da72900daf0d15464-73,measure,-196.22244076363128,-1112.8327609037951,14,no_signal,1385.25667
74,788e7f22e1c3495da72900daf0d15464-74,measure,-196.22244076363128,-1112.8327609037951,13,no_signal,1391.25667
75,788e7f22e1c3495da72900daf0d15464-75,measure,-196.22244076363128,-1112.8327609037951,12,no_signal,1397.25667
76,788e7f22e1c3495da72900daf0d15464-76,measure,-196.22244076363128,-1112.8327609037951,11,no_signal,1403.25667
77,788e7f22e1c3495da72900daf0d15464-77,measure,-196.22244076363128,-1112.8327609037951,9,no_signal,1409.25667
78,788e7f22e1c3495da72900daf0d15464-78,measure,-196.22244076363128,-1112.8327609037951,8,no_signal,1415.25667
79,788e7f22e1c3495da72900daf0d15464-79,measure,-196.22244076363128,-1112.8327609037951,6,direction,1421.25667
80,788e7f22e1c3495da72900daf0d15464-80,measure,-196.22244076363128,-1112.8327609037951,5,no_signal,1427.25667
81,788e7f22e1c3495da72900daf0d15464-81,measure,-196.22244076363128,-1112.8327609037951,3,no_signal,1433.25667
82,788e7f22e1c3495da72900daf0d15464-82,measure,-196.22244076363128,-1112.8327609037951,2,no_signal,1439.25667
83,788e7f22e1c3495da72900daf0d15464-83,measure,-364.725923003587,-1159.9338727064583,6,direction,1480.249205
84,788e7f22e1c3495da72900daf0d15464-84,measure,-498.1245131102187,-1197.2222528835669,17,direction,1513.951629
85,788e7f22e1c3495da72900daf0d15464-85,measure,-503.41065738322595,-1201.6456951684029,6,direction,1521.330181
86,788e7f22e1c3495da72900daf0d15464-86,measure,-810.0070252176471,-1458.205347688895,6,direction,1606.286216
87,788e7f22e1c3495da72900daf0d15464-87,measure,-815.2931694906543,-1462.628789973731,17,direction,1613.664768
88,788e7f22e1c3495da72900daf0d15464-88,measure,-814.759490941352,-1463.0680366937931,6,direction,1619.803007
89,788e7f22e1c3495da72900daf0d15464-89,measure,-783.8061350818205,-1488.5443464573918,6,direction,1632.820869
90,788e7f22e1c3495da72900daf0d15464-90,clear,-783.8061350818205,-1488.5443464573918,17,success,1637.820869
91,788e7f22e1c3495da72900daf0d15464-91,clear,-1189.0248796694107,-735.5920033908027,6,success,1813.834256
92,788e7f22e1c3495da72900daf0d15464-92,measure,-1061.8526614880766,-386.4827619580056,2,no_signal,1894.144426
93,788e7f22e1c3495da72900daf0d15464-93,measure,-1061.8526614880766,-386.4827619580056,3,no_signal,1900.144426
94,788e7f22e1c3495da72900daf0d15464-94,measure,-1061.8526614880766,-386.4827619580056,5,no_signal,1906.144426
95,788e7f22e1c3495da72900daf0d15464-95,measure,-1061.8526614880766,-386.4827619580056,8,no_signal,1912.144426
96,788e7f22e1c3495da72900daf0d15464-96,measure,-1061.8526614880766,-386.4827619580056,9,no_signal,1918.144426
97,788e7f22e1c3495da72900daf0d15464-97,measure,-1061.8526614880766,-386.4827619580056,11,direction,1924.144426
98,788e7f22e1c3495da72900daf0d15464-98,measure,-1061.8526614880766,-386.4827619580056,12,no_signal,1930.144426
99,788e7f22e1c3495da72900daf0d15464-99,measure,-1061.8526614880766,-386.4827619580056,13,no_signal,1936.144426
100,788e7f22e1c3495da72900daf0d15464-100,measure,-1061.8526614880766,-386.4827619580056,14,no_signal,1942.144426
101,788e7f22e1c3495da72900daf0d15464-101,measure,-1061.8526614880766,-386.4827619580056,15,no_signal,1948.144426
102,788e7f22e1c3495da72900daf0d15464-102,measure,-1061.8526614880766,-386.4827619580056,18,direction,1954.144426
103,788e7f22e1c3495da72900daf0d15464-103,measure,-1061.8526614880766,-386.4827619580056,19,no_signal,1960.144426
104,788e7f22e1c3495da72900daf0d15464-104,measure,-1061.8526614880766,-386.4827619580056,20,no_signal,1966.144426
105,788e7f22e1c3495da72900daf0d15464-105,measure,-926.3198524513087,-374.03872933637194,7,direction,1999.365004
106,788e7f22e1c3495da72900daf0d15464-106,clear,-439.070249888492,-334.29126355687015,7,success,2102.138627
107,788e7f22e1c3495da72900daf0d15464-107,measure,-704.0847748492486,-171.84273587805984,11,direction,2170.306858
108,788e7f22e1c3495da72900daf0d15464-108,measure,-801.7217050979482,-111.99327831218235,18,direction,2199.210943
109,788e7f22e1c3495da72900daf0d15464-109,measure,-809.6162655612671,-104.5308346331875,18,direction,2206.383611
