seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52000802,E11,10,5,True,True,323.41154040000004,0.0,5,0,0,6,1252.0577017775186,1.249294500000019,76d6d24ac18f998909af1a1a22427ecb49736b164edd357299d496ffd1dcf2c5,634ff8d164251fdf8d7901cf81ab3faa2021f72b0be4e3eb7bfca4f9e3da30da,12520.577017775186,115,105,10,10,0,0,3234.115404
52000802,J,10,5,True,True,311.677045,0.0,5,29,0,6,1187.8852249764932,0.45220330000000786,76d6d24ac18f998909af1a1a22427ecb49736b164edd357299d496ffd1dcf2c5,b8aa497bd4840a3869483ce42372a4a6219df79ddd34c069169edfd5c45f17bc,11878.852249764932,117,106,10,10,0,0,3116.77045
52000802,M,10,5,True,True,311.17607499999997,0.0,4,29,0,6,1185.3803751827982,0.4685547999999926,76d6d24ac18f998909af1a1a22427ecb49736b164edd357299d496ffd1dcf2c5,5f31b709d6f66ab7cb2e6f8214d489345486b2a54b345310825bf89164c7c9a2,11853.803751827982,117,106,10,10,0,0,3111.76075
52000803,E11,11,9,True,True,266.97565336363635,34.99999999999997,2,0,0,6,1015.3328123756746,1.6735820000000103,d41a4cde6253789b080049a5d76891f4eacb80411b0711690997b23ac22d8c34,831ec40692914f5c7e6033a6979c1d35c2fde418b606431e93be20236e6dfcb3,11168.66093613242,109,100,12,11,1,0,2936.732187
52000803,J,11,9,True,True,263.5296390909091,34.99999999999993,3,41,0,6,989.9209229130258,0.6453198000000384,d41a4cde6253789b080049a5d76891f4eacb80411b0711690997b23ac22d8c34,747a636b3a1ead42c4dd5aea5097d4c3629734aa66a733e229107261ac44b303,10889.130152043284,112,103,12,11,1,0,2898.82603
52000803,M,11,9,True,True,260.3855894545455,35.000000000000036,2,47,0,6,953.2915836442872,0.8976532000000361,d41a4cde6253789b080049a5d76891f4eacb80411b0711690997b23ac22d8c34,8f83717f8b6183a5d8a50ecd4964731001ee2496f730329c7f45b42071081bed,10486.20742008716,119,114,12,11,1,0,2864.241484
52000801,E11,16,8,True,True,214.346245,0.0,4,0,0,6,873.6062249853057,2.0513857000000257,ca5037879cd6fd895f1389be9366d48f17a9a3468f59d926437d9f4422f220f6,be20183404e49d248e8a5b2221f3459e93b3242be3c710df3187ba6aa1833dd0,13977.699599764892,94,84,16,16,0,0,3429.53992
52000801,J,16,8,True,True,206.7464668125,70.00000000000009,5,75,0,6,800.9198341827637,1.3501380000000154,ca5037879cd6fd895f1389be9366d48f17a9a3468f59d926437d9f4422f220f6,e849937bd89663daac4901937a2210fa38cf55f1e8a621835e6aae757329fa6c,12814.717346924219,112,99,18,16,2,0,3307.943469
52000801,M,16,8,True,True,189.4466729375,140.00000000000017,4,63,0,6,722.8583647524824,1.0347538999999983,ca5037879cd6fd895f1389be9366d48f17a9a3468f59d926437d9f4422f220f6,4b325de694f6702891f9aafee1aec8b14425b587a2814b0b15b8330b6b425ad3,11565.733836039719,106,96,20,16,4,0,3031.146767
52000800,E11,15,8,True,True,251.58864706666665,35.00000000000005,7,0,0,6,1008.6099020331443,3.270177600000011,2500a943ea1e14b3d086ea96af0619805c674dcf06cd922f0cced48daaa7330f,5327a4a11e7562858e45b84d145091fc3a39185fec40a59481dbaeca897592cc,15129.148530497165,114,100,16,15,1,0,3773.829706
52000800,J,15,8,True,True,232.88510806666667,34.99999999999995,6,67,0,6,906.0922071603534,1.1638720999999919,2500a943ea1e14b3d086ea96af0619805c674dcf06cd922f0cced48daaa7330f,ac17997669d4996f913acfb1a3a7f1a1777facb8576e6a81f82edb3a59f44800,13591.383107405301,119,102,16,15,1,0,3493.276621
52000800,M,15,8,True,True,232.1218195333333,34.99999999999995,5,65,0,6,906.2757642595843,1.1236352000000238,2500a943ea1e14b3d086ea96af0619805c674dcf06cd922f0cced48daaa7330f,7253c2f4a471ee7e19fe0da84b1307d07fd94f0cb105722bcfe469efa9a749ed,13594.136463893765,117,100,16,15,1,0,3481.827293
52000804,E11,12,5,True,True,306.5078339166667,35.00000000000003,6,0,0,6,1198.3725029682007,1.8342486999999892,842670098f112668dc6d613fba89cfd527bef6741ba437af8d5850f05b9c5b5f,7af17cd7bec7e268e764f0cff1369ffbf5e6987b314925db6111dbb59644100b,14380.47003561841,124,119,13,12,1,0,3678.094007
52000804,J,12,5,True,True,280.9168095833333,70.00000000000001,4,41,0,6,1096.2507144730885,0.668756099999996,842670098f112668dc6d613fba89cfd527bef6741ba437af8d5850f05b9c5b5f,e148cf4fe1fa95d4e9ffa74b7f3b77ac5832d9d3b3a9e760708518115d045323,13155.008573677062,113,109,14,12,2,0,3371.001715
