strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures,movement_per_source_m,mean_recovery_ray_m,mean_supplement_count,max_wall_s,guaranteed_clear_failures,b1plus_empty,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio
E11,20,261,True,True,0,qualified_runs_only,20,266.21287959770115,269.98033532226003,272.30320521190475,313.3247366,317.14066318,317.646833516,317.7733761,317.7733761,1,13624.89039405372,114.85,105.55,1.35,1044.0529037589058,47.24999999999999,5.4,3.916882000001351,0,0,,,,,,,,
A,20,261,True,True,0,qualified_runs_only,20,253.14192335249044,257.72496643109974,256.57816137012986,302.83346747454544,305.82511632,325.6346701439999,330.5870586,330.5870586,1,12567.010498312846,122.75,111.1,0,962.9893102155438,0.0,10.4,1.4078436999989208,0,0,20,20,0.9,-11.705850949999999,2.518915649230807,36.68996759999999,52000018,0.4084545898889695
