strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures,movement_per_source_m,mean_recovery_ray_m,mean_supplement_count,max_wall_s,guaranteed_clear_failures,b1plus_empty,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio
E11,20,261,True,True,0,qualified_runs_only,20,262.45440011877395,267.6080223200989,276.60957094642856,318.0597533944057,318.7244049095455,321.95913626190907,322.7678191,322.7678191,1,13396.89960804911,114.65,103.4,1.25,1026.5823454443764,43.74999999999999,4.85,3.8911560000001373,0,0,,,,,,,,
O,20,261,True,True,0,qualified_runs_only,20,244.51635499233717,248.90422598098922,252.419742375,290.0512557,300.08373217090906,304.88093988872726,306.08024181818183,306.08024181818183,1,12151.692163153246,117,105.4,1.65,931.1641504331988,57.75000000000001,6.75,1.3437066000001323,0,0,20,20,0.85,-18.144345793749977,9.467800865128202,11.73082253333331,52001409,0.5372093881485388
R,20,261,True,True,0,qualified_runs_only,20,233.11351596934867,237.5043269322178,234.96996511923075,289.52796625272725,293.56443683590913,297.9388464871818,299.0324489,299.0324489,1,11467.656916863843,114.8,105,1.45,878.7476564646623,50.75,1.5,1.3909945999998854,0,0,20,20,0.95,-31.909939943181826,-3.3815647687179373,3.23927969230769,52001414,0.8323169685259557
