strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures,movement_per_source_m,mean_recovery_ray_m,mean_supplement_count,max_wall_s,guaranteed_clear_failures,b1plus_empty,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio
E11,20,263,True,True,0,qualified_runs_only,20,267.24572054372624,271.119342678068,263.575613125,312.45121050909097,327.22550861499997,331.885412363,333.0503883,333.0503883,1,13757.906125141015,117.6,106.7,0.75,1046.2286026723207,26.25,4.65,3.3599011999995128,0,0,,,,,,,,
J,20,263,True,True,0,qualified_runs_only,20,253.8521421254753,257.5821135619008,256.50744551190473,301.02293422045454,304.2573969590909,308.8442022281818,309.99090354545456,309.99090354545456,1,12861.028344641876,117.9,107.55,1.05,978.0249691742873,36.75000000000001,5.7,1.3898736000010103,0,0,20,20,0.85,-10.089397466666668,3.127570262727291,18.436536800000027,52000618,0.34670388260801754
K,20,263,True,True,0,qualified_runs_only,20,257.4219994980989,261.15180106358434,259.6475646583333,303.92175737727274,308.28955013636363,312.7331464636364,313.84404554545455,313.84404554545455,1,13081.246467112132,118.5,107.45,1.05,994.7715944571963,36.74999999999999,6.2,1.526773100000355,0,0,20,20,0.8,-6.505146586538444,5.243937574285737,23.27565420000002,52000618,0.2615746936135104
