strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures,movement_per_source_m,mean_recovery_ray_m,mean_supplement_count,max_wall_s,guaranteed_clear_failures,b1plus_empty,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio
E11,20,263,True,True,0,qualified_runs_only,20,265.35196245247147,269.9728479232459,260.5941637230769,323.38700165000006,327.59356165454545,344.2163220036363,348.3720120909091,348.3720120909091,1,13594.641531423222,118.75,107.65,1.1,1033.8130442146937,38.49999999999999,5.1,4.154591499999924,0,0,,,,,,,,
O,20,263,True,True,0,qualified_runs_only,20,245.2621272661597,249.23027972010345,247.93541048626372,289.22744307090915,300.6842114545455,308.8293373454545,310.8656188181818,310.8656188181818,1,12338.984868049052,116.55,105.9,1,938.3258454790152,35.0,6.25,1.7338614999998754,0,0,20,20,0.75,-20.78481870170451,9.866222133516468,10.66097838461539,52001309,0.5706245693196259
Q,20,263,True,True,0,qualified_runs_only,20,244.2040327376426,248.26354171213558,247.34992098626373,291.98614070727274,300.2336067090909,306.10473494181815,307.572517,307.572517,1,12291.665152458056,115.65,105.35,1.2,934.727388019624,41.999999999999986,6,1.2056830999999875,0,0,20,20,0.85,-21.236354406249987,8.75379208351648,10.66097838461539,52001309,0.5921286899260352
