sequence,request_id,action,x_m,y_m,channel,result,virtual_time_s
103,4c137aa5949540258c383f6022096dc5-103,measure,908.9682992353037,-1048.0170361808725,10,direction,2171.512361
104,4c137aa5949540258c383f6022096dc5-104,measure,911.5648610785834,-1048.4382290758049,14,direction,2178.038461
105,4c137aa5949540258c383f6022096dc5-105,measure,1062.1654479888077,-1072.8674169818742,14,direction,2213.552276
106,4c137aa5949540258c383f6022096dc5-106,clear,1062.1654479888077,-1072.8674169818742,10,success,2218.552276
107,4c137aa5949540258c383f6022096dc5-107,clear,1302.07310544338,-1090.9692497897054,14,success,2271.670198
108,4c137aa5949540258c383f6022096dc5-108,measure,799.9427229129564,-587.8763202191158,17,direction,2419.830307
109,4c137aa5949540258c383f6022096dc5-109,measure,643.724381681269,-431.35851990826575,17,direction,2469.057897
110,4c137aa5949540258c383f6022096dc5-110,clear,632.5659287361485,-420.17867702891925,12,success,2477.217011
111,4c137aa5949540258c383f6022096dc5-111,clear,1308.7779810643099,-15.649044909669763,17,success,2639.812311
112,4c137aa5949540258c383f6022096dc5-112,measure,1091.4961837066471,292.46552096584844,16,direction,2721.216811
113,4c137aa5949540258c383f6022096dc5-113,measure,1091.4961837066471,292.46552096584844,13,no_signal,2727.216811
114,4c137aa5949540258c383f6022096dc5-114,measure,1091.4961837066471,292.46552096584844,11,no_signal,2733.216811
115,4c137aa5949540258c383f6022096dc5-115,measure,1091.4961837066471,292.46552096584844,6,no_signal,2739.216811
116,4c137aa5949540258c383f6022096dc5-116,measure,1091.4961837066471,292.46552096584844,4,no_signal,2745.216811
117,4c137aa5949540258c383f6022096dc5-117,measure,1091.4961837066471,292.46552096584844,2,no_signal,2751.216811
118,4c137aa5949540258c383f6022096dc5-118,measure,1091.4961837066471,292.46552096584844,1,no_signal,2757.216811
119,4c137aa5949540258c383f6022096dc5-119,measure,1403.8648544832217,314.40573345416146,16,direction,2825.84446
120,4c137aa5949540258c383f6022096dc5-120,clear,1532.342166405584,188.5621810094166,16,success,2866.81279
121,4c137aa5949540258c383f6022096dc5-121,measure,292.46552096584844,1091.4961837066471,1,no_signal,3179.575494
122,4c137aa5949540258c383f6022096dc5-122,measure,292.46552096584844,1091.4961837066471,2,no_signal,3185.575494
123,4c137aa5949540258c383f6022096dc5-123,measure,292.46552096584844,1091.4961837066471,4,no_signal,3191.575494
124,4c137aa5949540258c383f6022096dc5-124,measure,292.46552096584844,1091.4961837066471,6,no_signal,3197.575494
125,4c137aa5949540258c383f6022096dc5-125,measure,292.46552096584844,1091.4961837066471,11,no_signal,3203.575494
126,4c137aa5949540258c383f6022096dc5-126,measure,292.46552096584844,1091.4961837066471,13,no_signal,3209.575494
