sequence,request_id,action,x_m,y_m,channel,result,virtual_time_s
1,4c137aa5949540258c383f6022096dc5-1,measure,0.0,0.0,1,no_signal,5
2,4c137aa5949540258c383f6022096dc5-2,measure,0.0,0.0,2,no_signal,11
3,4c137aa5949540258c383f6022096dc5-3,measure,0.0,0.0,3,direction,17
4,4c137aa5949540258c383f6022096dc5-4,measure,0.0,0.0,4,no_signal,23
5,4c137aa5949540258c383f6022096dc5-5,measure,0.0,0.0,5,direction,29
6,4c137aa5949540258c383f6022096dc5-6,measure,0.0,0.0,6,no_signal,35
7,4c137aa5949540258c383f6022096dc5-7,measure,0.0,0.0,7,direction,41
8,4c137aa5949540258c383f6022096dc5-8,measure,0.0,0.0,8,no_signal,47
9,4c137aa5949540258c383f6022096dc5-9,measure,0.0,0.0,9,direction,53
10,4c137aa5949540258c383f6022096dc5-10,measure,0.0,0.0,10,no_signal,59
11,4c137aa5949540258c383f6022096dc5-11,measure,0.0,0.0,11,no_signal,65
12,4c137aa5949540258c383f6022096dc5-12,measure,0.0,0.0,12,direction,71
13,4c137aa5949540258c383f6022096dc5-13,measure,0.0,0.0,13,no_signal,77
14,4c137aa5949540258c383f6022096dc5-14,measure,0.0,0.0,14,no_signal,83
15,4c137aa5949540258c383f6022096dc5-15,measure,0.0,0.0,15,direction,89
16,4c137aa5949540258c383f6022096dc5-16,measure,0.0,0.0,16,no_signal,95
17,4c137aa5949540258c383f6022096dc5-17,measure,0.0,0.0,17,direction,101
18,4c137aa5949540258c383f6022096dc5-18,measure,0.0,0.0,18,no_signal,107
19,4c137aa5949540258c383f6022096dc5-19,measure,0.0,0.0,19,no_signal,113
20,4c137aa5949540258c383f6022096dc5-20,measure,0.0,0.0,20,no_signal,119
21,4c137aa5949540258c383f6022096dc5-21,measure,-104.58383575978957,71.58862628336132,3,direction,150.347749
22,4c137aa5949540258c383f6022096dc5-22,measure,-219.6260550955581,150.3361151950588,9,direction,184.230273
23,4c137aa5949540258c383f6022096dc5-23,measure,-418.33534303915826,286.3545051334453,15,direction,238.390997
24,4c137aa5949540258c383f6022096dc5-24,measure,-421.4720251768161,294.56211173274556,3,direction,246.148308
25,4c137aa5949540258c383f6022096dc5-25,measure,-421.4720251768161,294.56211173274556,15,direction,252.148308
26,4c137aa5949540258c383f6022096dc5-26,measure,-452.8388465533942,376.6381777257483,3,direction,275.721422
27,4c137aa5949540258c383f6022096dc5-27,measure,-603.3995891609693,770.6032944921615,15,direction,366.072368
28,4c137aa5949540258c383f6022096dc5-28,measure,-606.5362712986271,778.8109010914618,9,direction,373.829679
29,4c137aa5949540258c383f6022096dc5-29,clear,-548.0155570843506,827.6106129275449,9,success,394.069214
30,4c137aa5949540258c383f6022096dc5-30,measure,-799.0306627407987,799.0306627407988,20,no_signal,450.596591
31,4c137aa5949540258c383f6022096dc5-31,measure,-799.0306627407987,799.0306627407988,19,no_signal,456.596591
32,4c137aa5949540258c383f6022096dc5-32,measure,-799.0306627407987,799.0306627407988,18,no_signal,462.596591
33,4c137aa5949540258c383f6022096dc5-33,measure,-799.0306627407987,799.0306627407988,16,no_signal,468.596591
34,4c137aa5949540258c383f6022096dc5-34,measure,-799.0306627407987,799.0306627407988,14,no_signal,474.596591
35,4c137aa5949540258c383f6022096dc5-35,measure,-799.0306627407987,799.0306627407988,13,no_signal,480.596591
36,4c137aa5949540258c383f6022096dc5-36,measure,-799.0306627407987,799.0306627407988,11,no_signal,486.596591
37,4c137aa5949540258c383f6022096dc5-37,measure,-799.0306627407987,799.0306627407988,10,no_signal,492.596591
38,4c137aa5949540258c383f6022096dc5-38,measure,-799.0306627407987,799.0306627407988,8,no_signal,498.596591
39,4c137aa5949540258c383f6022096dc5-39,measure,-799.0306627407987,799.0306627407988,6,no_signal,504.596591
40,4c137aa5949540258c383f6022096dc5-40,measure,-799.0306627407987,799.0306627407988,4,no_signal,510.596591
41,4c137aa5949540258c383f6022096dc5-41,measure,-799.0306627407987,799.0306627407988,2,no_signal,516.596591
42,4c137aa5949540258c383f6022096dc5-42,measure,-799.0306627407987,799.0306627407988,1,no_signal,522.596591
43,4c137aa5949540258c383f6022096dc5-43,clear,-934.9339163780627,437.7018193393732,15,success,604.80494
44,4c137aa5949540258c383f6022096dc5-44,measure,-1091.4961837066471,-292.4655209658485,1,no_signal,759.157689
45,4c137aa5949540258c383f6022096dc5-45,measure,-1091.4961837066471,-292.4655209658485,2,no_signal,765.157689
46,4c137aa5949540258c383f6022096dc5-46,measure,-1091.4961837066471,-292.4655209658485,4,no_signal,771.157689
47,4c137aa5949540258c383f6022096dc5-47,measure,-1091.4961837066471,-292.4655209658485,6,no_signal,777.157689
48,4c137aa5949540258c383f6022096dc5-48,measure,-1091.4961837066471,-292.4655209658485,8,no_signal,783.157689
49,4c137aa5949540258c383f6022096dc5-49,measure,-1091.4961837066471,-292.4655209658485,10,no_signal,789.157689
50,4c137aa5949540258c383f6022096dc5-50,measure,-1091.4961837066471,-292.4655209658485,11,no_signal,795.157689
51,4c137aa5949540258c383f6022096dc5-51,measure,-1091.4961837066471,-292.4655209658485,13,no_signal,801.157689
52,4c137aa5949540258c383f6022096dc5-52,measure,-1091.4961837066471,-292.4655209658485,14,no_signal,807.157689
53,4c137aa5949540258c383f6022096dc5-53,measure,-1091.4961837066471,-292.4655209658485,16,no_signal,813.157689
54,4c137aa5949540258c383f6022096dc5-54,measure,-1091.4961837066471,-292.4655209658485,18,no_signal,819.157689
55,4c137aa5949540258c383f6022096dc5-55,measure,-1091.4961837066471,-292.4655209658485,19,direction,825.157689
56,4c137aa5949540258c383f6022096dc5-56,measure,-1091.4961837066471,-292.4655209658485,20,no_signal,831.157689
57,4c137aa5949540258c383f6022096dc5-57,clear,-962.3304117408651,-598.7168851818192,3,success,902.632856
58,4c137aa5949540258c383f6022096dc5-58,measure,-898.8650508152228,-589.2791908315216,19,direction,921.465505
59,4c137aa5949540258c383f6022096dc5-59,measure,-814.2445695810331,-576.6955983644584,5,direction,944.575704
60,4c137aa5949540258c383f6022096dc5-60,measure,-806.4436474806155,-575.2822835942505,19,direction,952.161287
61,4c137aa5949540258c383f6022096dc5-61,measure,-595.8187507693397,-537.1227847986383,7,direction,1000.972031
62,4c137aa5949540258c383f6022096dc5-62,measure,-353.99016565639323,-493.3100269221946,7,direction,1055.125107
63,4c137aa5949540258c383f6022096dc5-63,measure,-353.99016565639323,-493.3100269221946,19,direction,1061.125107
64,4c137aa5949540258c383f6022096dc5-64,clear,-346.18924355597557,-491.8967121519867,5,success,1067.71069
65,4c137aa5949540258c383f6022096dc5-65,measure,-352.20440635137646,-509.03587991958386,7,direction,1077.343503
66,4c137aa5949540258c383f6022096dc5-66,measure,-478.5228250547958,-868.9584030391234,7,direction,1158.632576
67,4c137aa5949540258c383f6022096dc5-67,clear,-707.0990112800308,-1520.246778207814,19,success,1301.67947
68,4c137aa5949540258c383f6022096dc5-68,measure,-292.4655209658483,-1091.4961837066471,20,direction,1426.968699
69,4c137aa5949540258c383f6022096dc5-69,measure,-292.4655209658483,-1091.4961837066471,18,direction,1432.968699
70,4c137aa5949540258c383f6022096dc5-70,measure,-292.4655209658483,-1091.4961837066471,16,no_signal,1438.968699
71,4c137aa5949540258c383f6022096dc5-71,measure,-292.4655209658483,-1091.4961837066471,14,no_signal,1444.968699
72,4c137aa5949540258c383f6022096dc5-72,measure,-292.4655209658483,-1091.4961837066471,13,no_signal,1450.968699
73,4c137aa5949540258c383f6022096dc5-73,measure,-292.4655209658483,-1091.4961837066471,11,no_signal,1456.968699
74,4c137aa5949540258c383f6022096dc5-74,measure,-292.4655209658483,-1091.4961837066471,10,no_signal,1462.968699
75,4c137aa5949540258c383f6022096dc5-75,measure,-292.4655209658483,-1091.4961837066471,8,direction,1468.968699
76,4c137aa5949540258c383f6022096dc5-76,measure,-292.4655209658483,-1091.4961837066471,6,no_signal,1474.968699
77,4c137aa5949540258c383f6022096dc5-77,measure,-292.4655209658483,-1091.4961837066471,4,no_signal,1480.968699
78,4c137aa5949540258c383f6022096dc5-78,measure,-292.4655209658483,-1091.4961837066471,2,no_signal,1486.968699
79,4c137aa5949540258c383f6022096dc5-79,measure,-292.4655209658483,-1091.4961837066471,1,no_signal,1492.968699
80,4c137aa5949540258c383f6022096dc5-80,measure,-341.7447805326272,-1200.2828466446124,18,direction,1522.854246
81,4c137aa5949540258c383f6022096dc5-81,measure,-346.6727064893051,-1211.1615129384088,8,direction,1531.242801
82,4c137aa5949540258c383f6022096dc5-82,measure,-415.6636698827955,-1363.4628410515602,20,direction,1570.682566
83,4c137aa5949540258c383f6022096dc5-83,measure,-414.44794990877335,-1366.86464231179,8,direction,1577.405068
84,4c137aa5949540258c383f6022096dc5-84,measure,-343.9361914154881,-1564.1691154051225,8,direction,1624.310181
85,4c137aa5949540258c383f6022096dc5-85,clear,-342.720471441466,-1567.5709166653523,20,success,1630.032683
86,4c137aa5949540258c383f6022096dc5-86,clear,-24.518101292054087,-1608.4783261720654,8,success,1699.196899
87,4c137aa5949540258c383f6022096dc5-87,clear,-136.57339854712419,-1272.0864514188934,18,success,1775.10977
88,4c137aa5949540258c383f6022096dc5-88,measure,41.31724401985949,-994.5838978513439,12,direction,1847.034803
89,4c137aa5949540258c383f6022096dc5-89,measure,213.27819850127705,-726.3314294027128,12,direction,1915.762334
90,4c137aa5949540258c383f6022096dc5-90,clear,219.20788658684313,-717.0813442837945,7,success,1922.959835
91,4c137aa5949540258c383f6022096dc5-91,measure,325.50872888173495,-732.105386000912,17,direction,1950.431296
92,4c137aa5949540258c383f6022096dc5-92,measure,625.0838298946119,-774.4458672036976,17,direction,2015.941777
93,4c137aa5949540258c383f6022096dc5-93,measure,799.0306627407986,-799.0306627407989,1,no_signal,2057.076895
94,4c137aa5949540258c383f6022096dc5-94,measure,799.0306627407986,-799.0306627407989,2,no_signal,2063.076895
95,4c137aa5949540258c383f6022096dc5-95,measure,799.0306627407986,-799.0306627407989,4,no_signal,2069.076895
96,4c137aa5949540258c383f6022096dc5-96,measure,799.0306627407986,-799.0306627407989,6,no_signal,2075.076895
97,4c137aa5949540258c383f6022096dc5-97,measure,799.0306627407986,-799.0306627407989,10,direction,2081.076895
98,4c137aa5949540258c383f6022096dc5-98,measure,799.0306627407986,-799.0306627407989,11,no_signal,2087.076895
99,4c137aa5949540258c383f6022096dc5-99,measure,799.0306627407986,-799.0306627407989,13,no_signal,2093.076895
100,4c137aa5949540258c383f6022096dc5-100,measure,799.0306627407986,-799.0306627407989,14,direction,2099.076895
101,4c137aa5949540258c383f6022096dc5-101,measure,799.0306627407986,-799.0306627407989,16,no_signal,2105.076895
102,4c137aa5949540258c383f6022096dc5-102,measure,868.3391727047257,-956.0003329530192,14,direction,2145.394906
