strategy,action_index,path,x,y,channel,result,reason,movement_s,measurement_s,switch_s,clear_success_s,clear_failure_s,total_action_s
E11,1,/measure,0.0,0.0,1,direction,E11:discovery,0.0,5.0,0.0,0.0,0.0,5.0
E11,2,/measure,0.0,0.0,2,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,3,/measure,0.0,0.0,3,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,4,/measure,0.0,0.0,4,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,5,/measure,0.0,0.0,5,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,6,/measure,0.0,0.0,6,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,7,/measure,0.0,0.0,7,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,8,/measure,0.0,0.0,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,9,/measure,0.0,0.0,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,10,/measure,0.0,0.0,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,11,/measure,0.0,0.0,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,12,/measure,0.0,0.0,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,13,/measure,0.0,0.0,13,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,14,/measure,0.0,0.0,14,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,15,/measure,0.0,0.0,15,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,16,/measure,0.0,0.0,16,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,17,/measure,0.0,0.0,17,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,18,/measure,0.0,0.0,18,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,19,/measure,0.0,0.0,19,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,20,/measure,0.0,0.0,20,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,21,/measure,130.9295108633192,103.77174131815991,5,direction,E11:joint_route_transit,33.413237563044454,5.0,1.0,0.0,0.0,39.413237563044454
E11,22,/measure,490.98566573744694,389.14402994309967,19,direction,E11:joint_safe_supplement,91.88640329837223,5.0,1.0,0.0,0.0,97.88640329837223
E11,23,/measure,497.2297416538969,394.76412942647784,19,direction,E11:joint_route_transit,1.6801666852245103,5.0,0.0,0.0,0.0,6.68016668522451
E11,24,/measure,765.7250060612456,636.4284072117388,19,direction,E11:joint_route_transit,72.24716746465397,5.0,0.0,0.0,0.0,77.24716746465397
E11,25,/measure,865.6302207244452,726.3499989457894,20,no_signal,E11:discovery,26.88266696359218,5.0,1.0,0.0,0.0,32.88266696359218
E11,26,/measure,865.6302207244452,726.3499989457894,16,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,27,/measure,865.6302207244452,726.3499989457894,15,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,28,/measure,865.6302207244452,726.3499989457894,14,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,29,/measure,865.6302207244452,726.3499989457894,13,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,30,/measure,865.6302207244452,726.3499989457894,12,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,31,/measure,865.6302207244452,726.3499989457894,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,32,/measure,865.6302207244452,726.3499989457894,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,33,/measure,865.6302207244452,726.3499989457894,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,34,/measure,865.6302207244452,726.3499989457894,8,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,35,/measure,865.6302207244452,726.3499989457894,6,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,36,/measure,865.6302207244452,726.3499989457894,4,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,37,/measure,865.6302207244452,726.3499989457894,3,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,38,/measure,747.2071124870494,816.2698887726718,14,direction,E11:joint_route_transit,29.738607331941182,5.0,1.0,0.0,0.0,35.73860733194118
E11,39,/measure,454.6323744887772,1038.424910697911,14,direction,E11:joint_route_transit,73.4718534083253,5.0,0.0,0.0,0.0,78.4718534083253
