strategy,action_index,path,x,y,channel,result,reason,movement_s,measurement_s,switch_s,clear_success_s,clear_failure_s,total_action_s
E11,1,/measure,0.0,0.0,1,direction,E11:discovery,0.0,5.0,0.0,0.0,0.0,5.0
E11,2,/measure,0.0,0.0,2,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,3,/measure,0.0,0.0,3,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,4,/measure,0.0,0.0,4,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,5,/measure,0.0,0.0,5,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,6,/measure,0.0,0.0,6,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,7,/measure,0.0,0.0,7,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,8,/measure,0.0,0.0,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,9,/measure,0.0,0.0,9,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,10,/measure,0.0,0.0,10,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,11,/measure,0.0,0.0,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,12,/measure,0.0,0.0,12,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,13,/measure,0.0,0.0,13,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,14,/measure,0.0,0.0,14,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,15,/measure,0.0,0.0,15,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,16,/measure,0.0,0.0,16,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,17,/measure,0.0,0.0,17,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,18,/measure,0.0,0.0,18,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,19,/measure,0.0,0.0,19,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,20,/measure,0.0,0.0,20,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,21,/measure,123.01724641955315,57.1798466343581,9,direction,E11:joint_route_transit,27.131367660166177,5.0,1.0,0.0,0.0,33.13136766016618
E11,22,/measure,147.62069570346378,68.61581596122973,12,direction,E11:joint_route_transit,5.426273532033237,5.0,1.0,0.0,0.0,11.426273532033237
E11,23,/measure,369.05173925865944,171.5395399030743,10,direction,E11:joint_route_transit,48.83646178829911,5.0,1.0,0.0,0.0,54.83646178829911
E11,24,/measure,725.8017538753635,337.3610951427128,9,direction,E11:joint_route_transit,78.6809662144819,5.0,1.0,0.0,0.0,84.6809662144819
E11,25,/measure,725.8017538753635,337.3610951427128,10,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,26,/measure,738.1034785173189,343.0790798061486,1,direction,E11:joint_safe_supplement,2.71313676601663,5.0,1.0,0.0,0.0,8.71313676601663
E11,27,/measure,742.8705505312205,345.3204057388293,1,direction,E11:joint_route_transit,1.053537232796847,5.0,0.0,0.0,0.0,6.053537232796847
E11,28,/measure,742.8705505312205,345.3204057388293,9,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,29,/measure,742.8705505312205,345.3204057388293,10,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,30,/measure,904.9509990038747,421.525487449973,1,direction,E11:joint_route_transit,35.820265915092705,5.0,1.0,0.0,0.0,41.820265915092705
E11,31,/measure,904.9509990038747,421.525487449973,9,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,32,/measure,904.9509990038747,421.525487449973,10,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
