strategy,action_index,path,x,y,channel,result,reason,movement_s,measurement_s,switch_s,clear_success_s,clear_failure_s,total_action_s
E11,1,/measure,0.0,0.0,1,no_signal,E11:discovery,0.0,5.0,0.0,0.0,0.0,5.0
E11,2,/measure,0.0,0.0,2,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,3,/measure,0.0,0.0,3,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,4,/measure,0.0,0.0,4,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,5,/measure,0.0,0.0,5,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,6,/measure,0.0,0.0,6,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,7,/measure,0.0,0.0,7,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,8,/measure,0.0,0.0,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,9,/measure,0.0,0.0,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,10,/measure,0.0,0.0,10,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,11,/measure,0.0,0.0,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,12,/measure,0.0,0.0,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,13,/measure,0.0,0.0,13,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,14,/measure,0.0,0.0,14,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,15,/measure,0.0,0.0,15,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,16,/measure,0.0,0.0,16,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,17,/measure,0.0,0.0,17,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,18,/measure,0.0,0.0,18,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,19,/measure,0.0,0.0,19,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,20,/measure,0.0,0.0,20,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,21,/measure,113.12332102643481,19.886562072446758,5,direction,E11:joint_route_transit,22.971600824593054,5.0,1.0,0.0,0.0,28.971600824593054
E11,22,/measure,113.12332102643481,19.886562072446758,15,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,23,/measure,113.12332102643481,19.886562072446758,16,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,24,/measure,143.97513585182614,25.310169910386787,20,direction,E11:joint_route_transit,6.264982043070836,5.0,1.0,0.0,0.0,12.264982043070836
E11,25,/measure,308.5181482539131,54.236078379400254,3,direction,E11:joint_route_transit,33.41323756304444,5.0,1.0,0.0,0.0,39.41323756304444
E11,26,/measure,565.6166051321741,99.4328103622338,16,direction,E11:joint_route_transit,52.208183692256945,5.0,1.0,0.0,0.0,58.208183692256945
E11,27,/measure,606.7523582326958,106.66428747948716,3,direction,E11:joint_route_transit,8.353309390761101,5.0,1.0,0.0,0.0,14.353309390761101
E11,28,/measure,606.7523582326958,106.66428747948716,5,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,29,/measure,606.7523582326958,106.66428747948716,15,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,30,/measure,606.7523582326958,106.66428747948716,20,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,31,/measure,617.0362965078263,108.47215675880051,6,direction,E11:joint_safe_supplement,2.0883273476902864,5.0,1.0,0.0,0.0,8.088327347690287
E11,32,/measure,625.2995709144258,109.93466149221436,6,direction,E11:joint_route_transit,1.6783399418952119,5.0,0.0,0.0,0.0,6.678339941895212
E11,33,/measure,666.6159429474232,117.24718515928359,5,direction,E11:joint_route_transit,8.391699709476015,5.0,1.0,0.0,0.0,14.391699709476015
E11,34,/measure,683.1424917606221,120.17219462611128,15,direction,E11:joint_route_transit,3.356679883790401,5.0,1.0,0.0,0.0,9.3566798837904
E11,35,/measure,980.6203703982035,172.82236502900975,6,direction,E11:joint_route_transit,60.42023790822735,5.0,1.0,0.0,0.0,66.42023790822735
