strategy,action_index,path,x,y,channel,result,reason,movement_s,measurement_s,switch_s,clear_success_s,clear_failure_s,total_action_s
T6,54,/measure,853.290507126259,260.3115770192038,19,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
T6,55,/measure,851.7464295539949,258.89770130694797,16,direction,E11:joint_safe_supplement,0.41872282378088377,5.0,1.0,0.0,0.0,6.418722823780884
T6,56,/measure,860.7101520524977,255.19309392667154,16,direction,E11:joint_route_transit,1.939818928376205,5.0,0.0,0.0,0.0,6.939818928376205
T6,57,/measure,977.2385445330351,207.0331979830778,16,direction,E11:joint_route_transit,25.21764606889068,5.0,0.0,0.0,0.0,30.21764606889068
T6,58,/measure,1389.5697794641671,36.62125849036158,6,direction,E11:joint_safe_supplement,89.23167070530543,5.0,1.0,0.0,0.0,95.23167070530543
T6,59,/clear,1593.8024420505146,333.67815250642434,6,success,E11_clear,72.09820490125374,0.0,0.0,5.0,0.0,77.09820490125374
T6,60,/measure,741.2250295016129,-199.77211828528402,15,direction,E11:joint_route_transit,201.14248042582423,5.0,1.0,0.0,0.0,207.14248042582423
T6,61,/clear,726.7745648821399,-208.81364829870276,19,success,E11_clear,3.4091945834885555,0.0,0.0,5.0,0.0,8.409194583488556
T6,62,/measure,727.7218156652667,-210.91858450613265,15,direction,E11:joint_route_transit,0.4616509713401983,5.0,0.0,0.0,0.0,5.461650971340198
T6,63,/measure,782.6623610866211,-333.00488453706566,15,direction,E11:joint_route_transit,26.775756337731263,5.0,0.0,0.0,0.0,31.775756337731263
T6,64,/clear,783.6096118697479,-335.10982074449555,4,success,E11_clear,0.4616509713401983,0.0,0.0,5.0,0.0,5.461650971340198
T6,65,/measure,857.5573360403162,-524.0423793963961,20,no_signal,E11:discovery,40.577716854825766,5.0,1.0,0.0,0.0,46.577716854825766
T6,66,/measure,857.5573360403162,-524.0423793963961,17,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,67,/measure,857.5573360403162,-524.0423793963961,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,68,/measure,857.5573360403162,-524.0423793963961,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,69,/measure,857.5573360403162,-524.0423793963961,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,70,/measure,857.5573360403162,-524.0423793963961,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,71,/measure,857.5573360403162,-524.0423793963961,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,72,/measure,857.5573360403162,-524.0423793963961,7,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,73,/clear,601.8164402681465,-479.4952169654212,1,success,E11_clear,51.91834182675846,0.0,0.0,5.0,0.0,56.91834182675846
T6,74,/clear,233.26712834004542,-228.35941774924916,13,success,E11_clear,89.19591581919482,0.0,0.0,5.0,0.0,94.19591581919482
T6,75,/measure,189.33215597980973,-373.60773011739775,18,direction,E11:joint_route_transit,30.349533137819396,5.0,1.0,0.0,0.0,36.34953313781939
T6,76,/measure,125.62644605746797,-584.2177830512132,2,direction,E11:joint_route_transit,44.00682304983813,5.0,1.0,0.0,0.0,50.00682304983813
