strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
J,N,10,3,3,0.3333333333333333,1.5955910999999787,4.845218580000033,5.20628830000004,52000711,0.07847574448829699,3,30,True,True,0,qualified_runs_only,3,324.3523335,324.3523335,317.4227078,339.67865292,342.46064606,344.686240572,345.2426392,345.2426392,1,12254.28334242659,124.66666666666667,116.33333333333333,1,1225.428334242659,35.00000000000001,3.6666666666666665,1.3913564999999721,0,0,3,30,True,True,0,qualified_runs_only,3,321.61556476666664,321.6155647666667,319.0182989,327.98802266,329.10923813000005,330.00621050600006,330.23045360000003,330.23045360000003,1,12110.778237567052,124.66666666666667,115.66666666666667,1.6666666666666667,1211.0778237567051,58.33333333333333,5,0.7574897000000078,0,0
J,N,11,3,3,1.0,-27.78866609090909,-5.289251254545448,-2.7893162727272625,52000719,0.44401129604276635,3,33,True,True,0,qualified_runs_only,3,310.28052015151513,310.28052015151513,308.4372579090909,325.7599892545455,327.9253306727273,329.6576038072727,330.0906720909091,330.0906720909091,1,13287.095274875015,118,109.66666666666667,0.3333333333333333,1207.9177522613647,11.666666666666657,3.6666666666666665,2.668848799999978,0,0,3,33,True,True,0,qualified_runs_only,3,290.092833,290.09283300000004,278.45217881818184,317.53152041818186,322.4164381181818,326.32437227818184,327.30135581818183,327.30135581818183,1,12141.772481481763,119,109.66666666666667,1,1103.7974983165238,34.99999999999997,5.666666666666667,0.888352000000026,0,0
J,N,12,2,2,0.5,-8.080673208333337,7.6938118541666825,9.446532416666685,52000706,0.18351136032716062,2,24,True,True,0,qualified_runs_only,2,293.25296883333334,293.25296883333334,293.25296883333334,308.7652657666667,310.70430288333336,312.25553257666667,312.64334,312.64334,1,13712.678131419672,119.5,110,3,1142.723177618306,104.99999999999991,5,2.932009100000016,0,0,2,24,True,True,0,qualified_runs_only,2,285.172295625,285.172295625,285.172295625,286.66282805833333,286.8491446125,286.9981978558333,287.03546116666666,287.03546116666666,1,13342.83773616414,116.5,108,1,1111.903144680345,35.0,6.5,0.6369563000000085,0,0
J,N,13,3,3,0.3333333333333333,0.6966165384615692,9.30105276153843,10.257101230769194,52000700,-0.016869837528431755,3,39,True,True,0,qualified_runs_only,3,257.1477476153846,257.1477476153846,261.3041101538461,273.11815624615383,274.5949120076923,275.77631661692305,276.07166776923077,276.07166776923077,1,13064.603594860107,112.33333333333333,100.33333333333333,1,1004.9695072969314,35.00000000000003,4.666666666666667,3.6058965,0,0,3,39,True,True,0,qualified_runs_only,3,257.97713071794874,257.97713071794874,252.8385416923077,279.6307235384615,282.97974626923076,285.6589644538461,286.32876899999997,286.32876899999997,1,13100.180164203015,113.33333333333333,101,0.3333333333333333,1007.7061664771551,11.6666666666667,5.333333333333333,1.0457166999999856,0,0
J,N,14,3,3,0.6666666666666666,-14.86829757142857,6.267888457142821,8.616353571428533,52000701,0.2789825822536552,3,42,True,True,0,qualified_runs_only,3,255.80260866666669,255.80260866666669,249.81630121428572,281.0582637857143,284.96350910714284,288.08770536428574,288.86875442857144,288.86875442857144,1,14232.8492736704,111.66666666666667,100.33333333333333,2,1016.6320909764571,69.99999999999999,5.333333333333333,3.2937443000000144,0,0,3,42,True,True,0,qualified_runs_only,3,247.68390007142858,247.68390007142858,237.3391239285714,266.66819027142856,270.33432356428574,273.26723019857144,274.00045685714286,274.00045685714286,1,13412.873005571453,120.66666666666667,106.66666666666667,1.6666666666666667,958.0623575408181,58.333333333333314,6,1.051413499999967,0,0
J,N,15,3,3,1.0,-11.646114266666643,-2.7248893466666786,-1.7336421333333476,52000716,0.3103191048506788,3,45,True,True,0,qualified_runs_only,3,246.44118075555556,246.44118075555556,251.26374466666667,270.13721192,272.4963953266667,274.383742052,274.85557873333335,274.85557873333335,1,14676.421888467574,115.66666666666667,99,3,978.4281258978383,104.99999999999993,5.333333333333333,4.019740899999988,0,0,3,45,True,True,0,qualified_runs_only,3,234.8315097333333,234.83150973333332,249.53010253333332,252.63107816,253.01870011333332,253.328797676,253.40632206666666,253.40632206666666,1,13914.029896903736,112.33333333333333,98,1.6666666666666667,927.6019931269157,58.333333333333265,6.333333333333333,0.9495472999999777,0,0
J,N,16,3,3,0.6666666666666666,-15.416189062499996,8.02964737500001,10.634740312500014,52000710,0.27458591033500135,3,48,True,True,0,qualified_runs_only,3,231.91207608333335,231.91207608333335,221.314398625,257.602311125,262.1383001875,265.7670914375,266.67428925,266.67428925,1,14999.632753430204,107.33333333333333,93,0.3333333333333333,937.4770470893877,11.666666666666673,5,4.220154699999966,0,0,3,48,True,True,0,qualified_runs_only,3,224.1449985416667,224.14499854166667,218.3822806875,242.2000604375,245.17728290625,247.55906088125002,248.154505375,248.154505375,1,14178.266550369539,113,101.66666666666667,1.3333333333333333,886.1416593980962,46.66666666666667,5.333333333333333,1.9314310999999975,0,0
J,k0,11,1,1,0.0,10.634740312500014,10.634740312500014,10.634740312500014,52000710,-0.20484393940143664,1,16,True,True,0,qualified_runs_only,1,207.747540375,207.747540375,207.747540375,207.747540375,207.747540375,207.747540375,207.747540375,207.747540375,1,13014.803230247502,110,91,0,813.4252018904689,0.0,4,4.220154699999966,0,0,1,16,True,True,0,qualified_runs_only,1,218.3822806875,218.3822806875,218.3822806875,218.3822806875,218.3822806875,218.3822806875,218.3822806875,218.3822806875,1,13360.582453815667,125,111,2,835.0364033634792,70.00000000000003,4,1.9314310999999975,0,0
J,k0,3,2,2,0.5,-6.636353235714296,0.7723966664285502,1.5955910999999787,52000718,0.18758523725633555,2,24,True,True,0,qualified_runs_only,2,300.766235,303.1457311142857,303.1457311142857,314.56731246285716,315.99501013142856,317.1371682662857,317.4227078,317.4227078,1,14070.974100106749,123,114,2,1172.5811750088958,70.0,5,2.1841320000000053,0,0,2,24,True,True,0,qualified_runs_only,2,292.75789104166665,296.5093778785714,296.5093778785714,314.51651469571425,316.7674067978571,318.5681204795714,319.0182989,319.0182989,1,13472.973462202614,127.5,115,2,1122.7477885168844,69.99999999999999,6.5,0.7888106999999991,0,0
J,k0,4,4,4,0.5,1.736323083333346,9.499479291153818,10.257101230769194,52000700,0.08931890821952976,4,50,True,True,0,qualified_runs_only,4,284.27048931999997,287.59260148397436,293.23166063461537,311.96783405,312.305587025,312.575789405,312.64334,312.64334,1,13816.905582964,122.5,110.5,1.5,1105.35244663712,52.49999999999998,5,3.3415962000000263,0,0,4,50,True,True,0,qualified_runs_only,4,281.31260973999997,284.623068625,286.6821150833333,307.02919761,311.31356970499996,314.741067381,315.5979418,315.5979418,1,13628.288108102115,122.25,111,2,1090.2630486481692,70.00000000000001,6,1.0262988000000064,0,0
