strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures,movement_per_source_m,mean_recovery_ray_m,mean_supplement_count,max_wall_s,guaranteed_clear_failures,b1plus_empty,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio
E11,100,1295,True,True,0,qualified_runs_only,100,267.7358875752896,272.68865459299803,263.7312683916667,328.16620499,341.7831121709091,361.106153645,369.02232349999997,356.109768210303,5,13524.348720511429,117.5,106.52,1.18,1044.351252549145,41.300000000000004,4.91,4.397825600000033,0,0,,,,,,,,
J,100,1295,True,True,0,qualified_runs_only,100,256.0816352247104,260.8741934549889,253.75974610256412,309.11577850000003,320.9676257036363,337.14387353700016,365.93815589999997,337.5983335345454,5,12770.235880695123,117.48,106.37,1.23,986.1186008258782,43.050000000000004,5.68,2.2093208000000004,0,0,100,100,0.87,-10.065203499999981,8.26942198674242,11.547304749999995,52000948,0.32665959085310753
M,100,1295,True,True,0,qualified_runs_only,100,250.62028968571428,255.4198286971736,247.3035994702381,307.3272091890909,317.67230601499995,340.8714118350001,365.93815589999997,333.17479174,5,12406.413757263586,117.7,106.74,1.42,958.0242283601226,49.70000000000001,4.94,1.9047987000000148,0,0,100,100,0.89,-15.367941660256392,4.213705582727277,17.3337283125,52000948,0.4842566767380322
