seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000967,M,14,8,10+,6,True,-15.563470357142819,-217.8885849999997,2,0,1054.4429270425444,2362.792216752676,0.4462698495307079,-1054.4429270425444,0,-1,-2,-2,-210.88858540850788,0.0,-1.0,0.0,-6.0
52000970,J,10,3,10+,6,True,-19.90018950000001,-199.00189499999988,0,0,1000.009470797715,2158.4490637945983,0.4633000090535737,-1000.009470797715,0,1,0,0,-200.0018941595422,0.0,1.0,0.0,0.0
52000970,M,10,3,10+,6,True,-22.13072189999997,-221.3072189999998,0,0,1116.5360925019704,2158.4490637945983,0.5172862826510609,-1116.5360925019704,0,2,0,0,-223.30721850039254,0.0,2.0,0.0,0.0
52000969,J,16,6,10+,6,True,-24.96690637499998,-399.47050199999967,1,1,2097.3525107475452,3138.388743304906,0.6682895849731194,-2097.3525107475452,3,5,0,0,-419.4705021495088,15.0,5.0,0.0,0.0
52000969,M,16,6,10+,6,True,-24.96690637499998,-399.47050199999967,1,1,2097.3525107475452,3138.388743304906,0.6682895849731194,-2097.3525107475452,3,5,0,0,-419.4705021495088,15.0,5.0,0.0,0.0
52000971,J,11,5,10+,6,True,8.52399481818179,93.76394299999993,1,1,-628.8197144559999,2564.228599488062,-0.2452276347676417,628.8197144559999,-6,-2,0,0,125.76394289120026,-30.0,-2.0,0.0,0.0
52000971,M,11,5,10+,6,True,-19.36847954545459,-213.0532750000002,1,3,995.2663751353684,2564.228599488062,0.3881348080019345,-995.2663751353684,-4,0,2,2,-199.0532750270736,-20.0,0.0,0.0,6.0
52000972,J,12,4,10+,6,True,-54.5501088333333,-654.601306,0,1,3253.0065257711303,4700.899046831055,0.6919966783724125,-3253.0065257711303,-1,-2,1,1,-650.6013051542263,-5.0,-2.0,0.0,3.0
52000972,M,12,4,10+,6,True,-54.5501088333333,-654.601306,0,1,3253.0065257711303,4700.899046831055,0.6919966783724125,-3253.0065257711303,-1,-2,1,1,-650.6013051542263,-5.0,-2.0,0.0,3.0
52000973,J,13,6,10+,6,True,-0.9132425384615885,-11.872153000000253,3,3,29.360764562563418,1217.6857230182159,0.024111939564987573,-29.360764562563418,-1,-1,0,0,-5.872152912513229,-5.0,-1.0,0.0,0.0
52000973,M,13,6,10+,6,True,-16.20410553846156,-210.65337200000022,3,1,863.2668606051884,1217.6857230182159,0.7089406111007466,-863.2668606051884,-6,-2,-2,-2,-172.65337212103805,-30.0,-2.0,0.0,-6.0
52000975,J,15,4,10+,6,True,0.7067571333333547,10.601357000000007,3,3,-48.00678059779966,2366.245070861656,-0.020288169297831116,48.00678059779966,0,1,0,0,9.601356119561387,0.0,1.0,0.0,0.0
52000975,M,15,4,10+,6,True,0.5898802666666825,8.848203999999896,3,3,50.75898242255789,2366.245070861656,0.021451278672531694,-50.75898242255789,3,4,0,0,-10.15179648450976,15.0,4.0,0.0,0.0
52000974,J,14,5,10+,6,True,-29.86531271428572,-418.1143780000002,0,0,1980.5718893408266,4554.735325499343,0.43483797582106337,-1980.5718893408266,-4,-2,0,0,-396.1143778681667,-20.0,-2.0,0.0,0.0
52000974,M,14,5,10+,6,True,-49.99671000000001,-699.9539399999999,0,3,3834.7696972964895,4554.735325499343,0.8419303040130169,-3834.7696972964895,9,13,3,3,-766.9539394592989,45.0,13.0,0.0,9.0
52000976,J,16,8,10+,6,True,-9.047885937500013,-144.7661750000002,0,2,338.8308781376836,2659.275785325406,0.1274147194538614,-338.8308781376836,-15,-8,2,2,-67.76617562753609,-75.0,-8.0,0.0,6.0
52000976,M,16,8,10+,6,True,-23.212351124999998,-371.39761799999997,0,1,1696.988089396964,2659.275785325406,0.6381391876545477,-1696.988089396964,-6,-5,1,1,-339.3976178793928,-30.0,-5.0,0.0,3.0
52000977,J,10,6,10+,6,True,-12.970954600000027,-129.70954600000005,1,3,743.5477323973282,2058.2425599516373,0.3612536961701926,-743.5477323973282,2,3,2,2,-148.7095464794652,10.0,3.0,0.0,6.0
52000977,M,10,6,10+,6,True,-12.970954600000027,-129.70954600000005,1,3,743.5477323973282,2058.2425599516373,0.3612536961701926,-743.5477323973282,2,3,2,2,-148.7095464794652,10.0,3.0,0.0,6.0
