strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures,movement_per_source_m,mean_recovery_ray_m,mean_supplement_count,max_wall_s,guaranteed_clear_failures,b1plus_empty,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio
E11,100,1305,True,True,0,qualified_runs_only,100,264.898708102682,269.05897628463595,270.928270465035,315.3947835,331.7918506728571,354.5732647789092,383.6052700909091,352.13688037818184,5,13489.890703856487,116.83,105.8,1.25,1033.7080999123743,43.74999999999999,4.71,4.661615100000063,0,0,,,,,,,,
O,100,1305,True,True,0,qualified_runs_only,100,246.0951591862069,250.03195268507244,245.57104765384614,296.03363113000006,300.97386363454547,334.52477536854553,356.43662045454545,322.1370306709091,5,12269.759136967776,116.57,105.11,1.46,940.211428120136,51.099999999999994,6.51,1.5312951000000794,0,0,100,100,0.85,-17.555097637499998,7.910937222836534,22.65994141666664,52001567,0.5427263944209857
R,100,1305,True,True,0,qualified_runs_only,100,238.39984454865902,242.19926634295916,238.50889421212122,284.09772490000006,293.13145206636364,308.75342668600007,320.9506015,303.0540084254545,5,11774.339856710121,115.98,105.67,1.81,902.2482648820016,63.35,1.4,1.5615556000000197,0,0,100,100,0.96,-24.599910311188836,-1.6198496156250022,10.648092866666673,52001500,0.7630937113542756
