strategy,N,runs,delta_P95,delta_CVaR95,delta_max
T2,10,28,-16.48869623500002,-21.045544249999978,-24.651230199999986
T2,11,29,9.08988345454543,7.2616598181817835,7.070847090909069
T2,12,29,4.227423633333331,-6.9311687083333595,-17.328571416666705
T4,10,28,-9.309144005000007,-3.6877119999999763,0.0
T4,11,29,9.08988345454543,7.2616598181817835,7.070847090909069
T4,12,29,1.1522119499999803,-9.187407750000034,-17.328571416666705
T6,10,28,0.0,0.0,0.0
T6,11,29,0.0,0.0,0.0
T6,12,29,2.147683233333339,0.0,0.0
