strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures
E11,200,2598,True,True,0,qualified_runs_only,200,263.36092607890686,267.8350064954765,263.65566923846154,322.73973882909087,335.36373818,354.261408262,365.96988369999997,347.2893981868182,10,13326.067148882936,116.18,105.48,1.505
T2,200,2598,True,True,0,qualified_runs_only,200,262.28932040492685,266.82494645888625,261.6294416785714,321.6866398916667,334.29431962999996,341.36338515681814,352.86266627272727,340.9095066790909,10,12931.941360226929,127.245,115.165,1.47
T4,200,2598,True,True,0,qualified_runs_only,200,262.17837076097,266.7448562397223,261.38657031493506,319.3341177533333,337.8915927918182,351.1029885227273,365.96988369999997,345.55126102272726,10,12949.160180891791,126.395,114.44,1.5
T6,200,2598,True,True,0,qualified_runs_only,200,262.3415518067744,266.9725600383484,260.7838059440559,321.98879374166665,335.36373818,354.261408262,365.96988369999997,347.2893981868182,10,13073.733789915905,122.515,110.955,1.53
