dimension,value,strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures
N,16,T4,28,448,True,True,0,qualified_runs_only,28,219.17912564732143,219.17912564732143,224.38876771875,248.05313089375,252.74629943437498,256.989145150625,258.0189794375,256.11187890625,2,13731.115765763074,114.67857142857143,100.17857142857143,2.357142857142857
N,10,T6,28,280,True,True,0,qualified_runs_only,28,314.9520285142857,314.9520285142857,317.63913909999997,352.02534734,356.97606183,363.942387361,365.96988369999997,362.21526085,2,11824.029997429567,123.5,114.21428571428571,1
N,11,T6,29,319,True,True,0,qualified_runs_only,29,298.5146828119122,298.5146828119122,299.64768363636364,325.0963028181818,334.2469979090909,343.7051268690909,345.7918191818182,342.06558290909095,2,12436.755830824304,124.55172413793103,115.13793103448276,1.1379310344827587
N,12,T6,29,348,True,True,0,qualified_runs_only,29,274.99551400287356,274.99551400287356,277.64484608333333,318.13227394999996,323.05538686666665,338.52095084,344.37258775000004,333.923236125,2,12522.661874898988,123.51724137931035,113.6896551724138,1.3793103448275863
N,13,T6,29,377,True,True,0,qualified_runs_only,29,268.15417793899206,268.15417793899206,262.44793623076924,300.9053056923077,312.3406760153846,323.45469415692304,325.4840998461538,321.8601611153846,2,13385.193979532156,125,112.34482758620689,2.206896551724138
N,14,T6,29,406,True,True,0,qualified_runs_only,29,250.96015552463055,250.96015552463055,251.40866664285713,272.89013334285715,284.51412984285713,298.5085516085714,301.2950259285714,296.31917892857143,2,13573.762610777212,123.06896551724138,110.44827586206897,0.9655172413793104
N,15,T6,28,420,True,True,0,qualified_runs_only,28,241.70316446904764,241.70316446904764,244.1040976,260.46486799999997,268.73701379,279.1799802346667,281.72342206666667,277.0133446,2,14076.844478380397,123.71428571428571,110.82142857142857,1.9285714285714286
N,16,T6,28,448,True,True,0,qualified_runs_only,28,218.64482950223214,218.64482950223214,224.67368181249998,243.85715525,249.045413290625,255.86403282499998,258.0189794375,254.02833756249998,2,13710.33635984124,114.03571428571429,99.75,2.107142857142857
k0,1,E11,1,11,True,True,0,qualified_runs_only,1,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,1,15318.550053464784,115,110,0
k0,2,E11,3,33,True,True,0,qualified_runs_only,3,316.27916436363637,318.4445151230769,294.73800489999996,351.72350794,358.84669582,364.54524612399996,365.96988369999997,365.96988369999997,1,13457.02070628635,123,112.66666666666667,1.6666666666666667
k0,3,E11,11,128,True,True,0,qualified_runs_only,11,300.1101364921875,303.330162915427,312.720376,339.97303320000003,345.52912360000005,349.97399592,351.085214,351.085214,1,13456.862487077524,124.72727272727273,114.63636363636364,1.4545454545454546
k0,4,E11,22,273,True,True,0,qualified_runs_only,22,291.3033005604396,295.8372401875089,305.6124771363636,327.9606174163637,336.9914577809091,350.699389994,354.2189918,345.83898750000003,2,14148.818421638742,121.68181818181819,111.18181818181819,1.1363636363636365
k0,5,E11,42,518,True,True,0,qualified_runs_only,42,282.3280906756757,285.8222107564273,285.34461650000003,323.32049935,337.12560302,352.6845373975,358.460638,346.68557005,3,13594.041782326232,117.80952380952381,107.45238095238095,1.6904761904761905
k0,6,E11,29,379,True,True,0,qualified_runs_only,29,265.87045550659633,269.3855176934949,267.37454206666666,314.1273012121212,321.5954814727273,322.97684569818176,323.16934299999997,322.8255978181818,2,13571.017695852112,116.75862068965517,105.82758620689656,1.8275862068965518
k0,7,E11,31,410,True,True,0,qualified_runs_only,31,257.62824998536587,261.35564454628206,261.33006890909087,295.2311232,323.12676135,325.46489583,326.2848348,324.91826985,2,13270.255240827588,115.90322580645162,104.16129032258064,1.1612903225806452
k0,8,E11,26,345,True,True,0,qualified_runs_only,26,250.205348742029,251.86620115014983,250.88443302727273,270.57905093506497,285.4601643107143,292.01011005,292.6027785,291.41744159999996,2,12900.739484126327,113.03846153846153,102.46153846153847,1.9615384615384615
k0,9,E11,18,249,True,True,0,qualified_runs_only,18,235.69665795180723,236.97185429618298,234.84211970833334,259.23738702,266.6106797073077,272.5066732337692,273.9806716153846,273.9806716153846,1,12637.629952429865,111.77777777777777,101.38888888888889,1.1666666666666667
k0,10,E11,10,140,True,True,0,qualified_runs_only,10,224.4219631,225.28198482356225,227.18190876602563,243.778499375,245.07303856250002,246.1086699125,246.36757775,246.36757775,1,11999.537416816385,112.9,103,1.5
k0,11,E11,3,48,True,True,0,qualified_runs_only,3,230.43575341666667,230.43575341666667,235.5947500625,240.6023307125,241.22827829375,241.72903635875,241.854225875,241.854225875,1,14889.860273898392,106.33333333333333,95.33333333333333,0.6666666666666666
k0,12,E11,4,64,True,True,0,qualified_runs_only,4,185.98632420312498,185.98632420312498,185.25929534375,194.17493489999998,195.99764698124997,197.45581664624999,197.8203590625,197.8203590625,1,11693.90593660226,94.25,81.25,1.5
k0,1,T2,1,11,True,True,0,qualified_runs_only,1,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,1,15318.550053464784,115,110,0
k0,2,T2,3,33,True,True,0,qualified_runs_only,3,313.35761381818185,315.42110355384614,315.35453440000003,333.61975472,335.90290726,337.729429292,338.1860598,338.1860598,1,12748.002093483554,141.33333333333334,129.66666666666666,2
k0,3,T2,11,128,True,True,0,qualified_runs_only,11,303.115279796875,305.61091551001573,314.13108109999996,329.7278452,333.44179135,336.41294827,337.1557375,337.1557375,1,13337.161733026242,135.1818181818182,123.18181818181819,0.8181818181818182
k0,4,T2,22,273,True,True,0,qualified_runs_only,22,284.6236404908425,288.6711429407333,294.91520176923075,334.00981291818186,339.30890793,340.936051539,341.3186535,340.40769645,2,13442.10314895255,131.72727272727272,119,1.2727272727272727
k0,5,T2,42,518,True,True,0,qualified_runs_only,42,285.03002666409265,288.4915769398523,291.6329785944056,333.5008044933333,339.5651522445454,348.007492777909,352.86266627272727,344.5126402030303,3,13371.018310761316,131.02380952380952,119.95238095238095,1.4761904761904763
k0,6,T2,29,379,True,True,0,qualified_runs_only,29,264.76391852506595,268.2829166817181,266.4482116153846,301.47439692,317.84808384999997,326.78862719666665,328.48456649999997,325.4561034583333,2,13186.297434447415,127.58620689655173,115.20689655172414,1.4827586206896552
k0,7,T2,31,410,True,True,0,qualified_runs_only,31,257.35773616341464,260.81127520709435,255.2230964285714,299.97562527272726,310.93079975,326.5946947,328.7334325,325.1688695,2,12952.5277143881,126.03225806451613,113.29032258064517,1.2258064516129032
k0,8,T2,26,345,True,True,0,qualified_runs_only,26,246.66073960869568,248.7766124035647,243.7415214238095,280.70344251153847,288.9148053807693,300.79963105,304.534834,297.0644281,2,12308.260608565837,125.3076923076923,113.5,1.6538461538461537
k0,9,T2,18,249,True,True,0,qualified_runs_only,18,233.5903144497992,235.5963596039412,238.98707325,260.24930638181814,263.66289891181816,274.17285034236363,276.8003382,276.8003382,1,12151.107860280743,123.44444444444444,110.55555555555556,1.3888888888888888
k0,10,T2,10,140,True,True,0,qualified_runs_only,10,226.08449312142858,227.1984066037912,226.08850336160714,243.16119717307694,248.18435820192306,252.202887025,253.2075192307692,253.2075192307692,1,12021.914518449852,116,105.4,1.8
k0,11,T2,3,48,True,True,0,qualified_runs_only,3,217.50071635416666,217.50071635416666,216.9596954375,227.4829879875,228.79839955625002,229.85072881125,230.113811125,230.113811125,1,13550.057307417097,115.33333333333333,101.33333333333333,4
k0,12,T2,4,64,True,True,0,qualified_runs_only,4,186.258997375,186.258997375,186.58946971875002,188.1152321625,188.31662326875,188.47773615375002,188.518014375,188.518014375,1,11318.219789932287,107.25,92.75,2.5
k0,1,T4,1,11,True,True,0,qualified_runs_only,1,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,1,15318.550053464784,115,110,0
k0,2,T4,3,33,True,True,0,qualified_runs_only,3,316.27916436363637,318.4445151230769,294.73800489999996,351.72350794,358.84669582,364.54524612399996,365.96988369999997,365.96988369999997,1,13457.02070628635,123,112.66666666666667,1.6666666666666667
k0,3,T4,11,128,True,True,0,qualified_runs_only,11,300.1101364921875,303.330162915427,312.720376,339.97303320000003,345.52912360000005,349.97399592,351.085214,351.085214,1,13456.862487077524,124.72727272727273,114.63636363636364,1.4545454545454546
k0,4,T4,22,273,True,True,0,qualified_runs_only,22,284.6236404908425,288.6711429407333,294.91520176923075,334.00981291818186,339.30890793,340.936051539,341.3186535,340.40769645,2,13442.10314895255,131.72727272727272,119,1.2727272727272727
k0,5,T4,42,518,True,True,0,qualified_runs_only,42,285.03002666409265,288.4915769398523,291.6329785944056,333.5008044933333,339.5651522445454,348.007492777909,352.86266627272727,344.5126402030303,3,13371.018310761316,131.02380952380952,119.95238095238095,1.4761904761904763
k0,6,T4,29,379,True,True,0,qualified_runs_only,29,264.76391852506595,268.2829166817181,266.4482116153846,301.47439692,317.84808384999997,326.78862719666665,328.48456649999997,325.4561034583333,2,13186.297434447415,127.58620689655173,115.20689655172414,1.4827586206896552
k0,7,T4,31,410,True,True,0,qualified_runs_only,31,257.35773616341464,260.81127520709435,255.2230964285714,299.97562527272726,310.93079975,326.5946947,328.7334325,325.1688695,2,12952.5277143881,126.03225806451613,113.29032258064517,1.2258064516129032
k0,8,T4,26,345,True,True,0,qualified_runs_only,26,246.66073960869568,248.7766124035647,243.7415214238095,280.70344251153847,288.9148053807693,300.79963105,304.534834,297.0644281,2,12308.260608565837,125.3076923076923,113.5,1.6538461538461537
k0,9,T4,18,249,True,True,0,qualified_runs_only,18,233.5903144497992,235.5963596039412,238.98707325,260.24930638181814,263.66289891181816,274.17285034236363,276.8003382,276.8003382,1,12151.107860280743,123.44444444444444,110.55555555555556,1.3888888888888888
k0,10,T4,10,140,True,True,0,qualified_runs_only,10,226.08449312142858,227.1984066037912,226.08850336160714,243.16119717307694,248.18435820192306,252.202887025,253.2075192307692,253.2075192307692,1,12021.914518449852,116,105.4,1.8
k0,11,T4,3,48,True,True,0,qualified_runs_only,3,217.50071635416666,217.50071635416666,216.9596954375,227.4829879875,228.79839955625002,229.85072881125,230.113811125,230.113811125,1,13550.057307417097,115.33333333333333,101.33333333333333,4
k0,12,T4,4,64,True,True,0,qualified_runs_only,4,186.258997375,186.258997375,186.58946971875002,188.1152321625,188.31662326875,188.47773615375002,188.518014375,188.518014375,1,11318.219789932287,107.25,92.75,2.5
k0,1,T6,1,11,True,True,0,qualified_runs_only,1,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,1,15318.550053464784,115,110,0
k0,2,T6,3,33,True,True,0,qualified_runs_only,3,316.27916436363637,318.4445151230769,294.73800489999996,351.72350794,358.84669582,364.54524612399996,365.96988369999997,365.96988369999997,1,13457.02070628635,123,112.66666666666667,1.6666666666666667
k0,3,T6,11,128,True,True,0,qualified_runs_only,11,300.1101364921875,303.330162915427,312.720376,339.97303320000003,345.52912360000005,349.97399592,351.085214,351.085214,1,13456.862487077524,124.72727272727273,114.63636363636364,1.4545454545454546
k0,4,T6,22,273,True,True,0,qualified_runs_only,22,291.3033005604396,295.8372401875089,305.6124771363636,327.9606174163637,336.9914577809091,350.699389994,354.2189918,345.83898750000003,2,14148.818421638742,121.68181818181819,111.18181818181819,1.1363636363636365
k0,5,T6,42,518,True,True,0,qualified_runs_only,42,282.3280906756757,285.8222107564273,285.34461650000003,323.32049935,337.12560302,352.6845373975,358.460638,346.68557005,3,13594.041782326232,117.80952380952381,107.45238095238095,1.6904761904761905
k0,6,T6,29,379,True,True,0,qualified_runs_only,29,264.76391852506595,268.2829166817181,266.4482116153846,301.47439692,317.84808384999997,326.78862719666665,328.48456649999997,325.4561034583333,2,13186.297434447415,127.58620689655173,115.20689655172414,1.4827586206896552
k0,7,T6,31,410,True,True,0,qualified_runs_only,31,257.35773616341464,260.81127520709435,255.2230964285714,299.97562527272726,310.93079975,326.5946947,328.7334325,325.1688695,2,12952.5277143881,126.03225806451613,113.29032258064517,1.2258064516129032
k0,8,T6,26,345,True,True,0,qualified_runs_only,26,246.66073960869568,248.7766124035647,243.7415214238095,280.70344251153847,288.9148053807693,300.79963105,304.534834,297.0644281,2,12308.260608565837,125.3076923076923,113.5,1.6538461538461537
k0,9,T6,18,249,True,True,0,qualified_runs_only,18,233.5903144497992,235.5963596039412,238.98707325,260.24930638181814,263.66289891181816,274.17285034236363,276.8003382,276.8003382,1,12151.107860280743,123.44444444444444,110.55555555555556,1.3888888888888888
k0,10,T6,10,140,True,True,0,qualified_runs_only,10,226.08449312142858,227.1984066037912,226.08850336160714,243.16119717307694,248.18435820192306,252.202887025,253.2075192307692,253.2075192307692,1,12021.914518449852,116,105.4,1.8
k0,11,T6,3,48,True,True,0,qualified_runs_only,3,217.50071635416666,217.50071635416666,216.9596954375,227.4829879875,228.79839955625002,229.85072881125,230.113811125,230.113811125,1,13550.057307417097,115.33333333333333,101.33333333333333,4
k0,12,T6,4,64,True,True,0,qualified_runs_only,4,186.258997375,186.258997375,186.58946971875002,188.1152321625,188.31662326875,188.47773615375002,188.518014375,188.518014375,1,11318.219789932287,107.25,92.75,2.5
chosen_template,6,E11,200,2598,True,True,0,qualified_runs_only,200,263.36092607890686,267.8350064954765,263.65566923846154,322.73973882909087,335.36373818,354.261408262,365.96988369999997,347.2893981868182,10,13326.067148882936,116.18,105.48,1.505
chosen_template,6,T2,1,11,True,True,0,qualified_runs_only,1,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,1,15318.550053464784,115,110,0
chosen_template,7,T2,199,2587,True,True,0,qualified_runs_only,199,261.9342653270197,266.4281280029921,261.42861335714286,321.52752396666665,330.17688322,341.026737176,352.86266627272727,339.7521473009091,10,12919.948351718196,127.30653266331659,115.19095477386935,1.4773869346733668
chosen_template,6,T4,15,172,True,True,0,qualified_runs_only,15,306.1338366627907,309.18381044138306,312.720376,348.9678560727273,355.55061491,363.88602994199994,365.96988369999997,365.96988369999997,1,13581.006635345106,123.73333333333333,113.93333333333334,1.4
chosen_template,7,T4,185,2426,True,True,0,qualified_runs_only,185,259.06198983140973,263.30385995310115,258.1122285384615,310.7421183454545,328.19645646666663,341.068439508,352.86266627272727,337.9397674709091,10,12897.929387287468,126.6108108108108,114.48108108108109,1.508108108108108
chosen_template,6,T6,79,963,True,True,0,qualified_runs_only,79,289.12437375804774,293.04695306982137,291.34333192857144,337.63505588727276,346.32115866363637,360.112672054,365.96988369999997,357.433681875,4,13746.0615147333,120.0126582278481,109.72151898734177,1.481012658227848
chosen_template,7,T6,121,1635,True,True,0,qualified_runs_only,121,246.56671539143733,249.94878276986603,246.9328682,294.2944127,300.257293,327.2731812833333,328.7334325,316.71726027380953,7,12634.776019167357,124.14876033057851,111.7603305785124,1.56198347107438
rotation,0,E11,19,250,True,True,0,qualified_runs_only,19,257.802133212,262.57428179401234,249.18926825000003,307.43103547999993,325.5401574199999,345.976202684,351.085214,351.085214,1,13170.403501279427,116.42105263157895,104.78947368421052,1.7894736842105263
rotation,5,E11,15,196,True,True,0,qualified_runs_only,15,259.2631194132653,264.83826900793235,264.7111935,319.86707591636366,322.17511754909094,325.73894414981817,326.6299008,326.6299008,1,13269.190467962606,112.4,101.93333333333334,1.5333333333333334
rotation,10,E11,22,279,True,True,0,qualified_runs_only,22,271.2614888064516,277.10275580870666,263.1403091293706,338.2513102927273,357.4545734318182,364.392942103,365.96988369999997,362.21526085,2,13391.353494819916,117.31818181818181,108.13636363636364,1.2272727272727273
rotation,15,E11,15,201,True,True,0,qualified_runs_only,15,258.0449677761194,261.42084278359084,266.626557,289.60980675714285,307.252108675,336.948491935,344.37258775000004,344.37258775000004,1,13525.679508151139,115.2,105.66666666666667,1.3333333333333333
rotation,20,E11,20,268,True,True,0,qualified_runs_only,20,262.15711082462684,266.3372486840474,269.26756474523813,307.97276047090907,319.45215360000003,324.91829856,326.2848348,326.2848348,1,13762.526424984422,116.5,105.5,1.8
rotation,25,E11,19,248,True,True,0,qualified_runs_only,19,256.8511012620968,262.4085624080264,261.21322653333334,322.18589499999996,323.66325618181816,327.2194310909091,328.10847481818183,328.10847481818183,1,13041.86134590754,114.21052631578948,104.57894736842105,1.105263157894737
rotation,30,E11,14,179,True,True,0,qualified_runs_only,14,266.2865662346369,268.6953020009791,267.66192581363634,307.94544933333333,312.86305960757574,313.2648179578788,313.36525754545454,313.36525754545454,1,13221.534055981581,117.14285714285714,106.21428571428571,1.5
rotation,35,E11,17,218,True,True,0,qualified_runs_only,17,266.16402072477064,269.85485458907243,270.77497191666663,313.88290498181817,317.11756438181817,321.88833534909094,323.0810280909091,323.0810280909091,1,13221.104858434124,118.70588235294117,108.29411764705883,1
rotation,40,E11,25,336,True,True,0,qualified_runs_only,25,254.09217449107143,257.0150027363901,250.54998521428573,297.81812695714285,313.20759670571425,321.78387318,323.5517049,319.86872215,2,13297.594125454785,116.08,103.68,1.4
rotation,45,E11,15,178,True,True,0,qualified_runs_only,15,283.85087928651683,288.59741478659674,294.73800489999996,342.36448526909095,348.31997096727275,353.03918763345456,354.2189918,354.2189918,1,13075.818837779247,116.53333333333333,106,1.7333333333333334
rotation,50,E11,9,119,True,True,0,qualified_runs_only,9,266.5207666134454,272.1875511010693,261.7853286923077,325.9800887490909,332.97656097454546,338.57373875490913,339.97303320000003,339.97303320000003,1,13796.650681735022,117.77777777777777,106.33333333333333,1.1111111111111112
rotation,55,E11,10,126,True,True,0,qualified_runs_only,10,270.90443085714287,272.21439747649515,264.67876066883116,314.6852322033333,315.8718322683333,316.8211123203333,317.0584323333333,317.0584323333333,1,13278.979143680624,116.1,104.8,3.1
rotation,0,T2,11,149,True,True,0,qualified_runs_only,11,256.462482704698,258.07378894766634,254.1049104,292.57365483333336,293.9686949935898,295.0847271217949,295.36373515384616,295.36373515384616,1,13334.959055484363,124.18181818181819,113.9090909090909,1.4545454545454546
rotation,5,T2,18,222,True,True,0,qualified_runs_only,18,281.20991726576574,284.99952324120164,286.7364297159091,330.37887037,334.44650809,335.48138961800004,335.74011,335.74011,1,13174.889342247945,129.88888888888889,118.16666666666667,1.3333333333333333
rotation,10,T2,18,243,True,True,0,qualified_runs_only,18,261.5396455925926,264.8450562684452,273.8165829,297.2096019151515,301.62609383181814,309.1082179663636,310.978749,310.978749,1,13488.648299833938,128.94444444444446,116.5,1.4444444444444444
rotation,15,T2,20,265,True,True,0,qualified_runs_only,20,258.1451251584906,263.38976535448944,260.0015053076923,310.85064210727273,316.91390962363636,345.672914942909,352.86266627272727,352.86266627272727,1,13045.614541479054,125.6,112.85,1.4
rotation,20,T2,21,279,True,True,0,qualified_runs_only,21,254.82174731899642,258.7182898915733,255.01541033333334,299.00785,300.896017,310.49891838181816,312.8996437272727,306.89783036363633,2,12868.87321487355,125.61904761904762,113.47619047619048,1.2380952380952381
rotation,25,T2,11,145,True,True,0,qualified_runs_only,11,262.5459310344828,265.75928668408596,257.7516925,323.74203118181816,326.11329884090907,328.0103129681818,328.48456649999997,328.48456649999997,1,13146.436363392666,129.1818181818182,116.72727272727273,1
rotation,30,T2,17,222,True,True,0,qualified_runs_only,17,253.6975521261261,258.32124298061524,247.14119346666666,303.65767827272725,312.9521739854545,326.3727109570909,329.7278452,329.7278452,1,12436.134286191122,127.52941176470588,115.05882352941177,2.588235294117647
rotation,35,T2,23,303,True,True,0,qualified_runs_only,23,250.8532586732673,256.71445690761664,246.9328682,315.10984374000003,320.97932929,324.899675928,325.8291391,323.7167228,2,12505.116820765,124.43478260869566,111.47826086956522,1.391304347826087
rotation,40,T2,24,306,True,True,0,qualified_runs_only,24,264.61813642483656,268.63155219758005,267.95234486904764,318.0719211433333,334.80862612499993,337.704200261,337.8680268,337.51188215,2,12857.94786368841,124.41666666666667,112.33333333333333,1.375
rotation,45,T2,22,265,True,True,0,qualified_runs_only,22,274.99653557358494,280.3412533856072,277.7888508,339.63870111272723,340.95246444681817,344.7899008906364,345.7918191818182,343.4062994409091,2,12386.836801863357,130.22727272727272,119.0909090909091,1.5454545454545454
rotation,50,T2,15,199,True,True,0,qualified_runs_only,15,268.75626977386935,272.94567780470527,272.9963294166667,325.13512726666664,331.253679,339.30565859999996,341.3186535,341.3186535,1,13590.4992283986,131.46666666666667,119.73333333333333,1.3333333333333333
rotation,0,T4,12,159,True,True,0,qualified_runs_only,12,262.4135978805032,265.82474103536083,257.72471883636365,295.0847271217949,320.43840063461533,344.9558513269231,351.085214,351.085214,1,13350.317525949784,124.5,113.91666666666667,1.4166666666666667
rotation,5,T4,17,211,True,True,0,qualified_runs_only,17,279.6890741848341,283.4228144042313,287.61709625,330.92734966,334.52260232,335.496608464,335.74011,335.74011,1,13183.939603392459,130,118.17647058823529,1.4705882352941178
rotation,10,T4,19,252,True,True,0,qualified_runs_only,19,267.3939506706349,272.3945305176339,277.5310662666667,316.4508685272727,341.1024003427272,360.9963870285454,365.96988369999997,365.96988369999997,1,13594.019886599166,128.10526315789474,116.26315789473684,1.5263157894736843
rotation,15,T4,20,265,True,True,0,qualified_runs_only,20,258.1451251584906,263.38976535448944,260.0015053076923,310.85064210727273,316.91390962363636,345.672914942909,352.86266627272727,352.86266627272727,1,13045.614541479054,125.6,112.85,1.4
rotation,20,T4,22,291,True,True,0,qualified_runs_only,22,256.2383044089347,260.5344171452197,255.1192533809524,300.70720029999995,312.29946239090907,317.79203083472726,319.0925388,315.99609126363634,2,12913.715132722224,124.77272727272727,112.9090909090909,1.2272727272727273
rotation,25,T4,12,159,True,True,0,qualified_runs_only,12,263.42635968553463,266.32476987707884,261.61543684090907,319.0328208422078,325.876172075,327.962887615,328.48456649999997,328.48456649999997,1,13288.662995522767,129.33333333333334,117,0.9166666666666666
rotation,30,T4,15,200,True,True,0,qualified_runs_only,15,248.742952635,252.58784351469725,242.80879361538462,299.3289620153846,302.80758195454547,307.5681213363636,308.7582561818182,308.7582561818182,1,12503.530176181033,125.6,112.8,2.8
rotation,35,T4,21,285,True,True,0,qualified_runs_only,21,246.34398015438597,250.56372048929444,246.16864484615385,304.77446323076924,312.720376,319.8275204,321.6043065,317.16234125,2,12764.293891048741,121.80952380952381,108.76190476190476,1.5714285714285714
rotation,40,T4,25,320,True,True,0,qualified_runs_only,25,262.261259153125,265.4734291363435,267.0010536666667,303.0431493836364,319.2173902066666,333.94169916799996,337.8680268,329.6881775666667,2,12770.520585723736,124.44,112.56,1.36
